Tarih,TP_KB_GID102
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,0.0
2006-02-01,163913.0
2006-03-01,312382.0
2006-04-01,142737.0
2006-05-01,136935.0
2006-06-01,361042.0
2006-07-01,157915.0
2006-08-01,193926.0
2006-09-01,305521.0
2006-10-01,148143.0
2006-11-01,185041.0
2006-12-01,359348.0
2007-01-01,198065.0
2007-02-01,191488.0
2007-03-01,319744.0
2007-04-01,172174.0
2007-05-01,172555.0
2007-06-01,423790.0
2007-07-01,194363.0
2007-08-01,162438.0
2007-09-01,457214.0
2007-10-01,208134.0
2007-11-01,252277.0
2007-12-01,471441.0
2008-01-01,216706.0
2008-02-01,264192.0
2008-03-01,395868.0
2008-04-01,173026.0
2008-05-01,235422.0
2008-06-01,464732.0
2008-07-01,188848.0
2008-08-01,225950.0
2008-09-01,504468.0
2008-10-01,166282.0
2008-11-01,261875.0
2008-12-01,457143.0
2009-01-01,218131.0
2009-02-01,270832.0
2009-03-01,387530.0
2009-04-01,194195.0
2009-05-01,206974.0
2009-06-01,426856.0
2009-07-01,168070.0
2009-08-01,209033.0
2009-09-01,528754.0
2009-10-01,177753.0
2009-11-01,236168.0
2009-12-01,449715.0
2010-01-01,323304.0
2010-02-01,264701.0
2010-03-01,411992.0
2010-04-01,266259.0
2010-05-01,259717.0
2010-06-01,515610.0
2010-07-01,235080.0
2010-08-01,235934.0
2010-09-01,576070.0
2010-10-01,210143.0
2010-11-01,256904.0
2010-12-01,587174.0
2011-01-01,306157.0
2011-02-01,319691.0
2011-03-01,588917.0
2011-04-01,274251.0
2011-05-01,338752.0
2011-06-01,786926.0
2011-07-01,423935.0
2011-08-01,216751.0
2011-09-01,780098.0
2011-10-01,287177.0
2011-11-01,358662.0
2011-12-01,723117.0
2012-01-01,328188.0
2012-02-01,440620.0
2012-03-01,655794.0
2012-04-01,337849.0
2012-05-01,413171.0
2012-06-01,732160.0
2012-07-01,331854.0
2012-08-01,421042.0
2012-09-01,744796.0
2012-10-01,320606.0
2012-11-01,428109.0
2012-12-01,833762.0
2013-01-01,402244.0
2013-02-01,485637.0
2013-03-01,730150.0
2013-04-01,346279.0
2013-05-01,474742.0
2013-06-01,768290.0
2013-07-01,430205.0
2013-08-01,524321.0
2013-09-01,718840.0
2013-10-01,398506.0
2013-11-01,509811.0
2013-12-01,905657.0
2014-01-01,497565.0
2014-02-01,574875.0
2014-03-01,803410.0
2014-04-01,467632.0
2014-05-01,493807.0
