Tarih,TP_KB_GID048
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,116410.0
2006-02-01,99375.0
2006-03-01,147767.0
2006-04-01,122329.0
2006-05-01,165552.0
2006-06-01,118738.0
2006-07-01,108526.0
2006-08-01,101301.0
2006-09-01,170565.0
2006-10-01,154536.0
2006-11-01,101514.0
2006-12-01,102419.0
2007-01-01,158109.0
2007-02-01,86472.0
2007-03-01,166211.0
2007-04-01,97162.0
2007-05-01,188736.0
2007-06-01,140263.0
2007-07-01,132898.0
2007-08-01,145565.0
2007-09-01,189191.0
2007-10-01,133400.0
2007-11-01,123114.0
2007-12-01,145227.0
2008-01-01,109123.0
2008-02-01,141333.0
2008-03-01,134986.0
2008-04-01,129401.0
2008-05-01,265081.0
2008-06-01,132960.0
2008-07-01,136747.0
2008-08-01,123986.0
2008-09-01,246915.0
2008-10-01,183901.0
2008-11-01,261302.0
2008-12-01,51792.0
2009-01-01,139888.0
2009-02-01,110378.0
2009-03-01,158389.0
2009-04-01,98941.0
2009-05-01,103532.0
2009-06-01,112221.0
2009-07-01,157857.0
2009-08-01,111479.0
2009-09-01,113408.0
2009-10-01,210907.0
2009-11-01,146735.0
2009-12-01,127314.0
2010-01-01,129047.0
2010-02-01,131905.0
2010-03-01,184238.0
2010-04-01,128613.0
2010-05-01,134412.0
2010-06-01,142673.0
2010-07-01,198257.0
2010-08-01,133858.0
2010-09-01,142483.0
2010-10-01,134481.0
2010-11-01,131047.0
2010-12-01,147412.0
2011-01-01,185207.0
2011-02-01,259274.0
2011-03-01,188139.0
2011-04-01,201062.0
2011-05-01,241600.0
2011-06-01,199199.0
2011-07-01,285090.0
2011-08-01,195508.0
2011-09-01,171442.0
2011-10-01,181699.0
2011-11-01,192373.0
2011-12-01,204169.0
2012-01-01,175872.0
2012-02-01,220173.0
2012-03-01,228184.0
2012-04-01,185867.0
2012-05-01,113536.0
2012-06-01,189377.0
2012-07-01,300419.0
2012-08-01,190588.0
2012-09-01,175690.0
2012-10-01,222292.0
2012-11-01,194687.0
2012-12-01,202874.0
2013-01-01,238468.0
2013-02-01,244218.0
2013-03-01,330478.0
2013-04-01,227486.0
2013-05-01,253609.0
2013-06-01,226428.0
2013-07-01,212871.0
2013-08-01,129782.0
2013-09-01,124910.0
2013-10-01,125498.0
2013-11-01,123887.0
2013-12-01,125086.0
2014-01-01,122904.0
2014-02-01,125531.0
2014-03-01,264832.0
2014-04-01,63418.0
2014-05-01,71581.0
