Tarih,TP_KB_GID107
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,0.0
2006-03-01,55758.0
2006-04-01,27123.0
2006-05-01,26193.0
2006-06-01,34396.0
2006-07-01,24782.0
2006-08-01,24900.0
2006-09-01,28107.0
2006-10-01,21220.0
2006-11-01,22415.0
2006-12-01,28472.0
2007-01-01,26624.0
2007-02-01,28081.0
2007-03-01,29876.0
2007-04-01,28954.0
2007-05-01,29094.0
2007-06-01,27758.0
2007-07-01,24997.0
2007-08-01,23467.0
2007-09-01,27441.0
2007-10-01,19262.0
2007-11-01,22934.0
2007-12-01,29713.0
2008-01-01,25505.0
2008-02-01,31637.0
2008-03-01,33300.0
2008-04-01,30362.0
2008-05-01,31335.0
2008-06-01,31343.0
2008-07-01,27010.0
2008-08-01,28456.0
2008-09-01,31172.0
2008-10-01,20282.0
2008-11-01,23450.0
2008-12-01,29153.0
2009-01-01,23589.0
2009-02-01,31802.0
2009-03-01,28153.0
2009-04-01,33509.0
2009-05-01,28191.0
2009-06-01,36211.0
2009-07-01,27274.0
2009-08-01,26151.0
2009-09-01,28100.0
2009-10-01,23731.0
2009-11-01,28004.0
2009-12-01,27788.0
2010-01-01,34975.0
2010-02-01,36482.0
2010-03-01,34400.0
2010-04-01,40780.0
2010-05-01,37831.0
2010-06-01,37640.0
2010-07-01,32770.0
2010-08-01,30760.0
2010-09-01,36582.0
2010-10-01,25472.0
2010-11-01,30745.0
2010-12-01,26587.0
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,29967.0
2012-02-01,43803.0
2012-03-01,39126.0
2012-04-01,46577.0
2012-05-01,45059.0
2012-06-01,42783.0
2012-07-01,33324.0
2012-08-01,34784.0
2012-09-01,33533.0
2012-10-01,30305.0
2012-11-01,37070.0
2012-12-01,43687.0
2013-01-01,36726.0
2013-02-01,48221.0
2013-03-01,43858.0
2013-04-01,52928.0
2013-05-01,52914.0
2013-06-01,49631.0
2013-07-01,34519.0
2013-08-01,38759.0
2013-09-01,37405.0
2013-10-01,35556.0
2013-11-01,40261.0
2013-12-01,46830.0
2014-01-01,40297.0
2014-02-01,53150.0
2014-03-01,45497.0
2014-04-01,58357.0
2014-05-01,51567.0
2014-06-01,46985.0
2014-07-01,34426.0
2014-08-01,36291.0
2014-09-01,39117.0
2014-10-01,32792.0
