Tarih,TP_KB_GID153
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,1452980.0
2006-02-01,5932806.0
2006-03-01,1910549.0
2006-04-01,3667430.0
2006-05-01,4200624.0
2006-06-01,2304298.0
2006-07-01,4962977.0
2006-08-01,5050802.0
2006-09-01,2813218.0
2006-10-01,2427537.0
2006-11-01,2741718.0
2006-12-01,1193779.0
2007-01-01,5975205.0
2007-02-01,4053227.0
2007-03-01,3352209.0
2007-04-01,2260494.0
2007-05-01,4192761.0
2007-06-01,2749347.0
2007-07-01,5030580.0
2007-08-01,3998526.0
2007-09-01,5187090.0
2007-10-01,1455627.0
2007-11-01,1952557.0
2007-12-01,1332057.0
2008-01-01,3621818.0
2008-02-01,3828329.0
2008-03-01,3793296.0
2008-04-01,3911475.0
2008-05-01,1437203.0
2008-06-01,785046.0
2008-07-01,6789680.0
2008-08-01,7883846.0
2008-09-01,4292671.0
2008-10-01,1660376.0
2008-11-01,4931031.0
2008-12-01,1581718.0
2009-01-01,3102459.0
2009-02-01,8832235.0
2009-03-01,3458746.0
2009-04-01,2676772.0
2009-05-01,4813475.0
2009-06-01,639361.0
2009-07-01,4557698.0
2009-08-01,7620776.0
2009-09-01,4110229.0
2009-10-01,4591278.0
2009-11-01,1711584.0
2009-12-01,647414.0
2010-01-01,5333110.0
2010-02-01,3569409.0
2010-03-01,3643486.0
2010-04-01,6612886.0
2010-05-01,1971759.0
2010-06-01,3008454.0
2010-07-01,3818899.0
2010-08-01,2767864.0
2010-09-01,3148116.0
2010-10-01,2064988.0
2010-11-01,4648477.0
2010-12-01,1560982.0
2011-01-01,2944330.0
2011-02-01,5313357.0
2011-03-01,2893150.0
2011-04-01,2722366.0
2011-05-01,3453746.0
2011-06-01,1236499.0
2011-07-01,2727447.0
2011-08-01,4999735.0
2011-09-01,2121575.0
2011-10-01,2477346.0
2011-11-01,3099797.0
2011-12-01,1075144.0
2012-01-01,4254682.0
2012-02-01,7737518.0
2012-03-01,2040617.0
2012-04-01,4296029.0
2012-05-01,1724382.0
2012-06-01,1649089.0
2012-07-01,3214453.0
2012-08-01,5415856.0
2012-09-01,2292319.0
2012-10-01,3383362.0
2012-11-01,3131872.0
2012-12-01,1562041.0
2013-01-01,4123477.0
2013-02-01,4200101.0
2013-03-01,3694269.0
2013-04-01,2611917.0
2013-05-01,2943284.0
2013-06-01,1443534.0
2013-07-01,5042440.0
2013-08-01,5806415.0
2013-09-01,3969065.0
2013-10-01,2107860.0
