Tarih,TP_KB_GID067
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,1175000.0
2006-02-01,170000.0
2006-03-01,65000.0
2006-04-01,897005.0
2006-05-01,137570.0
2006-06-01,59529.0
2006-07-01,130167.0
2006-08-01,1740955.0
2006-09-01,1122.0
2006-10-01,172303.0
2006-11-01,10085.0
2006-12-01,187972.0
2007-01-01,250284.0
2007-02-01,605869.0
2007-03-01,260110.0
2007-04-01,1101718.0
2007-05-01,1526504.0
2007-06-01,1089237.0
2007-07-01,272755.0
2007-08-01,11102.0
2007-09-01,8662.0
2007-10-01,40890.0
2007-11-01,303084.0
2007-12-01,84877.0
2008-01-01,185000.0
2008-02-01,696065.0
2008-03-01,1388887.0
2008-04-01,935572.0
2008-05-01,729008.0
2008-06-01,515998.0
2008-07-01,60804.0
2008-08-01,625193.0
2008-09-01,40521.0
2008-10-01,324005.0
2008-11-01,277016.0
2008-12-01,30975.0
2009-01-01,453291.0
2009-02-01,1425284.0
2009-03-01,477104.0
2009-04-01,375127.0
2009-05-01,692970.0
2009-06-01,237196.0
2009-07-01,78893.0
2009-08-01,61546.0
2009-09-01,42959.0
2009-10-01,69032.0
2009-11-01,181767.0
2009-12-01,399399.0
2010-01-01,455921.0
2010-02-01,1528627.0
2010-03-01,1180422.0
2010-04-01,449262.0
2010-05-01,619566.0
2010-06-01,393437.0
2010-07-01,201621.0
2010-08-01,63019.0
2010-09-01,62614.0
2010-10-01,84928.0
2010-11-01,372498.0
2010-12-01,405097.0
2011-01-01,501702.0
2011-02-01,597220.0
2011-03-01,1708000.0
2011-04-01,796824.0
2011-05-01,1264601.0
2011-06-01,661003.0
2011-07-01,4000.0
2011-08-01,128176.0
2011-09-01,125122.0
2011-10-01,174390.0
2011-11-01,406264.0
2011-12-01,594004.0
2012-01-01,500000.0
2012-02-01,0.0
2012-03-01,2105819.0
2012-04-01,916017.0
2012-05-01,1444978.0
2012-06-01,1289566.0
2012-07-01,173519.0
2012-08-01,209837.0
2012-09-01,193506.0
2012-10-01,31516.0
2012-11-01,253198.0
2012-12-01,435089.0
2013-01-01,250000.0
2013-02-01,1682000.0
2013-03-01,831282.0
2013-04-01,920000.0
2013-05-01,1003210.0
2013-06-01,2068374.0
2013-07-01,193499.0
2013-08-01,325192.0
2013-09-01,147331.0
2013-10-01,61185.0
2013-11-01,302152.0
2013-12-01,899943.0
2014-01-01,407000.0
2014-02-01,1957212.0
2014-03-01,1235860.0
2014-04-01,772147.0
