Tarih,TP_KALANVADE_K18
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,30858.0
2011-08-01,
2011-09-01,31596.0
2011-10-01,32261.0
2011-11-01,32573.0
2011-12-01,33190.0
2012-01-01,34274.0
2012-02-01,34821.0
2012-03-01,33719.0
2012-04-01,35101.0
2012-05-01,34519.0
2012-06-01,35026.0
2012-07-01,33043.0
2012-08-01,33582.0
2012-09-01,34439.96
2012-10-01,34102.0
2012-11-01,34058.0
2012-12-01,33737.0
2013-01-01,33880.0
2013-02-01,33183.0
2013-03-01,31845.0
2013-04-01,32318.0
2013-05-01,31965.0
2013-06-01,30672.0
2013-07-01,30179.0
2013-08-01,30212.0
2013-09-01,29526.0
2013-10-01,30052.0
2013-11-01,29604.0
2013-12-01,27884.0
2014-01-01,27050.0
2014-02-01,28458.0
2014-03-01,27761.0
2014-04-01,26987.0
2014-05-01,26528.0
2014-06-01,24345.0
2014-07-01,23739.0
2014-08-01,23566.0
2014-09-01,21947.0
2014-10-01,22030.0
2014-11-01,22776.0
2014-12-01,20850.0
2015-01-01,21420.0
2015-02-01,21790.0
2015-03-01,21005.0
2015-04-01,21027.0
2015-05-01,21401.0
2015-06-01,22534.0
2015-07-01,22982.0
2015-08-01,23663.0
2015-09-01,24362.0
2015-10-01,25017.0
2015-11-01,24779.0
2015-12-01,25982.0
2016-01-01,26601.0
2016-02-01,26595.0
2016-03-01,28086.0
