Tarih,TP_KVADEDOVKOMP_ORJCHF
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,278.0
2005-04-01,321.0
2005-07-01,350.0
2005-10-01,355.0
2006-01-01,308.0
2006-04-01,317.0
2006-07-01,310.0
2006-10-01,309.0
2007-01-01,261.0
2007-04-01,292.0
2007-07-01,276.0
2007-10-01,298.0
2008-01-01,198.0
2008-04-01,232.0
2008-07-01,264.0
2008-10-01,220.0
2009-01-01,263.0
2009-04-01,263.0
2009-07-01,253.0
2009-10-01,268.0
2010-01-01,269.0
2010-04-01,322.0
2010-07-01,325.0
2010-10-01,368.0
2011-01-01,355.0
2011-04-01,361.0
2011-07-01,386.0
2011-10-01,391.0
2012-01-01,271.0
2012-04-01,312.0
2012-07-01,306.0
2012-10-01,310.0
2013-01-01,844.0
2013-04-01,908.0
2013-07-01,890.0
2013-10-01,896.0
2014-01-01,1256.0
2014-04-01,1324.0
2014-07-01,1418.0
2014-10-01,1471.0
2015-01-01,980.0
2015-04-01,926.0
2015-07-01,878.0
2015-10-01,769.0
2016-01-01,764.0
2016-04-01,785.0
2016-07-01,732.0
2016-10-01,688.0
2017-01-01,709.0
2017-04-01,725.0
2017-07-01,757.0
2017-10-01,790.0
2018-01-01,792.0
2018-04-01,616.0
2018-07-01,559.0
2018-10-01,367.0
2019-01-01,365.0
2019-04-01,393.0
2019-07-01,449.0
2019-10-01,435.0
2020-01-01,445.0
2020-04-01,372.0
2020-07-01,464.0
2020-10-01,487.0
2021-01-01,419.0
2021-04-01,457.0
2021-07-01,473.0
2021-10-01,490.0
2022-01-01,459.0
2022-04-01,454.0
2022-07-01,447.0
2022-10-01,497.0
2023-01-01,522.0
2023-04-01,544.0
2023-07-01,524.0
2023-10-01,616.0
2024-01-01,480.0
2024-04-01,515.0
2024-07-01,566.0
2024-10-01,273.0
2025-01-01,294.0
2025-04-01,338.0
