Tarih,TP_KVADEDOVKOMP_ORJTRY
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,3292.0
2005-04-01,3477.0
2005-07-01,3762.0
2005-10-01,3766.0
2006-01-01,8239.0
2006-04-01,10615.0
2006-07-01,9694.0
2006-10-01,9305.0
2007-01-01,6824.0
2007-04-01,7137.0
2007-07-01,6557.0
2007-10-01,7018.0
2008-01-01,10015.0
2008-04-01,11011.0
2008-07-01,11839.0
2008-10-01,12398.0
2009-01-01,15302.0
2009-04-01,14487.0
2009-07-01,14284.0
2009-10-01,15197.0
2010-01-01,24200.0
2010-04-01,29318.0
2010-07-01,30321.0
2010-10-01,38025.0
2011-01-01,23979.0
2011-04-01,28378.0
2011-07-01,32041.0
2011-10-01,31723.0
2012-01-01,27310.0
2012-04-01,30360.0
2012-07-01,30007.0
2012-10-01,31149.0
2013-01-01,29675.0
2013-04-01,34178.0
2013-07-01,36812.0
2013-10-01,39695.0
2014-01-01,36290.0
2014-04-01,36837.0
2014-07-01,39728.0
2014-10-01,40362.0
2015-01-01,46701.0
2015-04-01,46790.0
2015-07-01,48358.0
2015-10-01,39748.0
2016-01-01,48513.0
2016-04-01,49989.0
2016-07-01,48681.0
2016-10-01,51191.0
2017-01-01,51989.0
2017-04-01,53225.0
2017-07-01,55748.0
2017-10-01,61365.0
2018-01-01,72078.0
2018-04-01,78965.0
2018-07-01,84424.0
2018-10-01,89059.0
2019-01-01,91085.0
2019-04-01,86322.0
2019-07-01,78903.0
2019-10-01,84964.0
2020-01-01,98081.0
2020-04-01,111921.0
2020-07-01,120715.0
2020-10-01,125540.0
2021-01-01,136133.0
2021-04-01,134569.0
2021-07-01,134263.0
2021-10-01,133363.0
2022-01-01,183281.0
2022-04-01,200656.0
2022-07-01,225437.0
2022-10-01,268822.0
2023-01-01,345394.0
2023-04-01,384988.0
2023-07-01,433128.0
2023-10-01,506515.0
2024-01-01,597897.0
2024-04-01,789157.0
2024-07-01,874992.0
2024-10-01,1287517.0
2025-01-01,1506054.0
2025-04-01,1386413.0
