Tarih,TP_BIRIMFIYAT_ARTVIN
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,791.0
2010-04-01,777.0
2010-07-01,850.0
2010-10-01,833.0
2011-01-01,780.0
2011-04-01,813.5
2011-07-01,824.0
2011-10-01,839.0
2012-01-01,856.0
2012-04-01,947.0
2012-07-01,882.0
2012-10-01,966.5
2013-01-01,943.5
2013-04-01,1028.0
2013-07-01,996.0
2013-10-01,1000.0
2014-01-01,1035.0
2014-04-01,1010.0
2014-07-01,1061.0
2014-10-01,1085.0
2015-01-01,1158.5
2015-04-01,1133.0
2015-07-01,1129.0
2015-10-01,1189.0
2016-01-01,1196.5
2016-04-01,1169.0
2016-07-01,1288.5
2016-10-01,1217.0
2017-01-01,1241.0
2017-04-01,1314.0
2017-07-01,1342.0
2017-10-01,1337.0
2018-01-01,1369.0
2018-04-01,1409.5
2018-07-01,1512.0
2018-10-01,1457.0
2019-01-01,1512.5
2019-04-01,1565.5
2019-07-01,1691.0
2019-10-01,1750.0
2020-01-01,1894.0
2020-04-01,2150.0
2020-07-01,2211.0
2020-10-01,2256.5
2021-01-01,2330.0
2021-04-01,2610.0
2021-07-01,2672.0
2021-10-01,3294.0
2022-01-01,4022.5
2022-04-01,5474.0
2022-07-01,6476.0
2022-10-01,7129.0
2023-01-01,9302.0
2023-04-01,11282.0
2023-07-01,14440.5
2023-10-01,17742.0
2024-01-01,18750.0
2024-04-01,21645.5
2024-07-01,22182.5
2024-10-01,23337.0
2025-01-01,24786.0
2025-04-01,26071.0
2025-07-01,27936.5
