Tarih,TP_BIRIMFIYAT_MARDIN
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,
2014-01-01,801.0
2014-04-01,842.5
2014-07-01,853.0
2014-10-01,878.0
2015-01-01,928.0
2015-04-01,883.0
2015-07-01,867.0
2015-10-01,870.0
2016-01-01,876.0
2016-04-01,890.5
2016-07-01,844.0
2016-10-01,851.0
2017-01-01,843.0
2017-04-01,870.0
2017-07-01,906.0
2017-10-01,862.0
2018-01-01,872.0
2018-04-01,908.0
2018-07-01,903.0
2018-10-01,857.0
2019-01-01,949.0
2019-04-01,946.5
2019-07-01,1012.0
2019-10-01,1028.0
2020-01-01,1100.0
2020-04-01,1263.5
2020-07-01,1353.0
2020-10-01,1474.0
2021-01-01,1501.5
2021-04-01,1856.0
2021-07-01,2032.0
2021-10-01,2419.0
2022-01-01,3205.5
2022-04-01,4353.0
2022-07-01,5653.0
2022-10-01,6333.0
2023-01-01,7895.0
2023-04-01,8951.0
2023-07-01,10625.0
2023-10-01,12093.0
2024-01-01,12500.0
2024-04-01,14523.0
2024-07-01,14857.0
2024-10-01,14803.0
2025-01-01,16194.0
2025-04-01,17500.0
2025-07-01,18571.0
