Tarih,TP_BIRIMFIYAT_TEKIRDAG
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,731.8
2010-04-01,727.2
2010-07-01,756.9
2010-10-01,756.6
2011-01-01,776.0
2011-04-01,793.3
2011-07-01,815.4
2011-10-01,836.3
2012-01-01,857.7
2012-04-01,876.9
2012-07-01,895.4
2012-10-01,892.3
2013-01-01,908.6
2013-04-01,946.7
2013-07-01,970.5
2013-10-01,963.0
2014-01-01,934.4
2014-04-01,963.9
2014-07-01,1000.0
2014-10-01,1033.4
2015-01-01,1105.0
2015-04-01,1170.3
2015-07-01,1250.5
2015-10-01,1300.7
2016-01-01,1341.9
2016-04-01,1436.2
2016-07-01,1532.2
2016-10-01,1615.6
2017-01-01,1645.5
2017-04-01,1751.4
2017-07-01,1817.4
2017-10-01,1849.9
2018-01-01,1906.5
2018-04-01,2031.4
2018-07-01,2146.2
2018-10-01,2311.1
2019-01-01,2063.7
2019-04-01,2027.9
2019-07-01,2172.0
2019-10-01,2180.7
2020-01-01,2293.9
2020-04-01,2542.4
2020-07-01,2557.8
2020-10-01,2671.6
2021-01-01,2803.3
2021-04-01,2952.2
2021-07-01,3281.9
2021-10-01,3825.8
2022-01-01,5312.6
2022-04-01,7411.1
2022-07-01,10072.6
2022-10-01,11575.3
2023-01-01,14711.6
2023-04-01,17533.3
2023-07-01,19849.5
2023-10-01,22394.7
2024-01-01,24581.4
2024-04-01,25233.3
2024-07-01,27349.8
2024-10-01,29252.2
2025-01-01,31982.5
2025-04-01,33541.7
2025-07-01,35942.6
