Tarih,TP_BIRIMFIYAT_CORUM
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,572.0
2010-04-01,600.0
2010-07-01,600.0
2010-10-01,622.0
2011-01-01,647.0
2011-04-01,654.0
2011-07-01,667.0
2011-10-01,677.0
2012-01-01,693.0
2012-04-01,695.5
2012-07-01,718.5
2012-10-01,750.0
2013-01-01,773.0
2013-04-01,788.0
2013-07-01,813.0
2013-10-01,816.0
2014-01-01,846.0
2014-04-01,870.0
2014-07-01,917.0
2014-10-01,916.0
2015-01-01,948.0
2015-04-01,1000.0
2015-07-01,1022.0
2015-10-01,1000.0
2016-01-01,1053.0
2016-04-01,1094.0
2016-07-01,1133.0
2016-10-01,1136.0
2017-01-01,1192.5
2017-04-01,1212.0
2017-07-01,1238.0
2017-10-01,1269.5
2018-01-01,1333.0
2018-04-01,1392.0
2018-07-01,1375.0
2018-10-01,1400.0
2019-01-01,1494.0
2019-04-01,1522.0
2019-07-01,1572.5
2019-10-01,1581.0
2020-01-01,1739.0
2020-04-01,1981.0
2020-07-01,2080.5
2020-10-01,2059.0
2021-01-01,2167.5
2021-04-01,2347.5
2021-07-01,2583.0
2021-10-01,3000.0
2022-01-01,3703.0
2022-04-01,5000.0
2022-07-01,6202.0
2022-10-01,7020.0
2023-01-01,9195.0
2023-04-01,10595.0
2023-07-01,12359.5
2023-10-01,14602.0
2024-01-01,15873.0
2024-04-01,17607.0
2024-07-01,19643.0
2024-10-01,20105.5
2025-01-01,22472.0
2025-04-01,23228.0
2025-07-01,25581.0
