Tarih,TP_IN_KL2_APT_DEV_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,522263.0
2010-02-01,235926.0
2010-03-01,455471.0
2010-04-01,606178.0
2010-05-01,408025.0
2010-06-01,634161.0
2010-07-01,1014972.0
2010-08-01,884167.0
2010-09-01,237457.0
2010-10-01,824588.0
2010-11-01,469528.0
2010-12-01,797507.3
2011-01-01,243384.0
2011-02-01,325566.0
2011-03-01,112097.0
2011-04-01,652356.0
2011-05-01,427460.0
2011-06-01,825494.7
2011-07-01,663464.0
2011-08-01,536543.0
2011-09-01,243877.0
2011-10-01,537803.0
2011-11-01,485606.0
2011-12-01,510626.0
2012-01-01,409642.0
2012-02-01,174832.0
2012-03-01,593472.0
2012-04-01,850157.0
2012-05-01,283796.0
2012-06-01,790123.0
2012-07-01,454923.2
2012-08-01,304612.0
2012-09-01,413292.0
2012-10-01,1038143.0
2012-11-01,1038550.0
2012-12-01,433006.0
2013-01-01,894363.7
2013-02-01,479005.5
2013-03-01,409078.0
2013-04-01,527009.0
2013-05-01,815229.0
2013-06-01,705601.0
2013-07-01,935002.3
2013-08-01,1210273.0
2013-09-01,450200.0
2013-10-01,646643.0
2013-11-01,416336.4
2013-12-01,564897.0
2014-01-01,1053591.0
2014-02-01,570679.3
2014-03-01,794043.5
2014-04-01,337851.0
2014-05-01,558983.0
2014-06-01,770122.0
2014-07-01,375656.0
2014-08-01,132061.0
2014-09-01,613588.0
2014-10-01,656587.0
2014-11-01,937945.0
2014-12-01,782782.0
2015-01-01,248779.0
2015-02-01,520967.0
2015-03-01,177918.0
2015-04-01,380163.0
2015-05-01,437976.9
2015-06-01,532140.0
2015-07-01,273304.0
2015-08-01,141092.0
