Tarih,TP_IN_KL2_APT_KOP_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,465123.5
2010-02-01,420437.0
2010-03-01,472164.0
2010-04-01,626343.0
2010-05-01,321356.0
2010-06-01,232371.0
2010-07-01,343381.0
2010-08-01,434643.0
2010-09-01,335329.0
2010-10-01,395758.0
2010-11-01,331342.0
2010-12-01,990289.0
2011-01-01,439842.0
2011-02-01,499531.0
2011-03-01,419830.0
2011-04-01,722958.0
2011-05-01,284843.0
2011-06-01,343041.0
2011-07-01,157557.0
2011-08-01,288849.0
2011-09-01,307286.0
2011-10-01,270027.0
2011-11-01,368514.0
2011-12-01,304145.0
2012-01-01,253278.0
2012-02-01,118009.0
2012-03-01,133384.0
2012-04-01,143058.0
2012-05-01,120535.0
2012-06-01,179357.0
2012-07-01,239737.0
2012-08-01,158413.0
2012-09-01,142616.0
2012-10-01,240162.0
2012-11-01,238547.0
2012-12-01,259759.0
2013-01-01,339593.0
2013-02-01,138224.0
2013-03-01,271614.0
2013-04-01,206918.0
2013-05-01,201881.0
2013-06-01,398057.0
2013-07-01,300887.0
2013-08-01,175072.0
2013-09-01,264577.0
2013-10-01,243026.0
2013-11-01,194231.0
2013-12-01,331506.0
2014-01-01,298487.0
2014-02-01,271075.0
2014-03-01,377846.0
2014-04-01,189078.0
2014-05-01,177916.0
2014-06-01,216141.0
2014-07-01,148069.0
2014-08-01,168048.0
2014-09-01,175691.0
2014-10-01,165992.0
2014-11-01,187202.0
2014-12-01,452065.0
2015-01-01,322252.6
2015-02-01,325339.0
2015-03-01,150180.0
2015-04-01,198501.0
2015-05-01,263638.0
2015-06-01,291501.0
2015-07-01,183937.0
2015-08-01,176217.0
