Tarih,TP_IN_KL2_SANAYI_KOP_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,182425.0
2010-02-01,118379.0
2010-03-01,105710.0
2010-04-01,31787.5
2010-05-01,61035.0
2010-06-01,9199.0
2010-07-01,3249.0
2010-08-01,399.0
2010-09-01,1992.0
2010-10-01,46886.0
2010-11-01,247877.0
2010-12-01,15564.0
2011-01-01,15901.0
2011-02-01,44333.7
2011-03-01,3933.0
2011-04-01,13330.0
2011-05-01,2551.0
2011-06-01,9273.0
2011-07-01,14793.0
2011-08-01,12406.0
2011-09-01,4436.0
2011-10-01,6207.0
2011-11-01,249.0
2011-12-01,19973.3
2012-01-01,37275.3
2012-02-01,3273.0
2012-03-01,
2012-04-01,500.0
2012-05-01,160.0
2012-06-01,2344.0
2012-07-01,11691.0
2012-08-01,410.0
2012-09-01,19915.0
2012-10-01,
2012-11-01,112.0
2012-12-01,258.0
2013-01-01,480.0
2013-02-01,104293.0
2013-03-01,50657.0
2013-04-01,30719.0
2013-05-01,14931.0
2013-06-01,47656.0
2013-07-01,552.0
2013-08-01,
2013-09-01,23054.0
2013-10-01,29345.0
2013-11-01,4489.0
2013-12-01,289483.0
2014-01-01,67894.8
2014-02-01,28768.0
2014-03-01,23156.0
2014-04-01,10084.0
2014-05-01,25602.0
2014-06-01,45502.0
2014-07-01,62887.0
2014-08-01,2758.8
2014-09-01,10273.0
2014-10-01,10454.0
2014-11-01,20739.0
2014-12-01,128705.0
2015-01-01,3608.0
2015-02-01,82572.5
2015-03-01,2411.0
2015-04-01,31777.0
2015-05-01,7895.0
2015-06-01,15663.0
2015-07-01,317.6
2015-08-01,9376.5
2015-09-01,
2015-10-01,14855.0
