Tarih,TP_IN_RH2_KAMU_TOP_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,467752.1
2010-02-01,473025.0
2010-03-01,858066.6
2010-04-01,656262.7
2010-05-01,512503.3
2010-06-01,631631.1
2010-07-01,434455.0
2010-08-01,437868.3
2010-09-01,393761.0
2010-10-01,537018.6
2010-11-01,643807.5
2010-12-01,1227375.6
2011-01-01,371014.0
2011-02-01,468578.1
2011-03-01,602238.0
2011-04-01,406846.6
2011-05-01,527471.8
2011-06-01,753759.0
2011-07-01,557067.7
2011-08-01,467281.7
2011-09-01,634952.6
2011-10-01,606357.0
2011-11-01,265182.7
2011-12-01,671913.2
2012-01-01,327239.0
2012-02-01,1017596.1
2012-03-01,906653.7
2012-04-01,679259.0
2012-05-01,1025230.1
2012-06-01,729317.8
2012-07-01,892299.3
2012-08-01,517323.4
2012-09-01,683124.8
2012-10-01,583110.6
2012-11-01,1024571.1
2012-12-01,1080398.0
2013-01-01,668044.5
2013-02-01,570444.0
2013-03-01,660916.9
2013-04-01,1017804.5
2013-05-01,883718.0
2013-06-01,1014227.1
2013-07-01,1134232.6
2013-08-01,805943.9
2013-09-01,908292.1
2013-10-01,662908.5
2013-11-01,885032.0
2013-12-01,1306330.8
2014-01-01,987812.1
2014-02-01,1004984.4
2014-03-01,2011845.4
2014-04-01,798263.0
2014-05-01,1156993.5
2014-06-01,1025975.7
2014-07-01,775982.2
2014-08-01,1895677.6
2014-09-01,698455.2
2014-10-01,576455.0
2014-11-01,700112.8
2014-12-01,1569450.9
2015-01-01,556988.3
2015-02-01,1255523.4
2015-03-01,1035743.4
2015-04-01,2040866.8
2015-05-01,2054790.7
2015-06-01,847809.4
2015-07-01,1071461.0
