Tarih,TP_IN_RH2_APT_TOP_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,3653.0
2010-02-01,4034.0
2010-03-01,6271.0
2010-04-01,6545.0
2010-05-01,5901.0
2010-06-01,6710.0
2010-07-01,5965.0
2010-08-01,5314.0
2010-09-01,5145.0
2010-10-01,6091.0
2010-11-01,6040.0
2010-12-01,32435.0
2011-01-01,3558.0
2011-02-01,3238.0
2011-03-01,4425.0
2011-04-01,4960.0
2011-05-01,5685.0
2011-06-01,6278.0
2011-07-01,5868.0
2011-08-01,5848.0
2011-09-01,4437.0
2011-10-01,6343.0
2011-11-01,5484.0
2011-12-01,10849.0
2012-01-01,3911.0
2012-02-01,4170.0
2012-03-01,5459.0
2012-04-01,6022.0
2012-05-01,7956.0
2012-06-01,6474.0
2012-07-01,6255.0
2012-08-01,5208.0
2012-09-01,5368.0
2012-10-01,6294.0
2012-11-01,6402.0
2012-12-01,8249.0
2013-01-01,4876.0
2013-02-01,4862.0
2013-03-01,6062.0
2013-04-01,7350.0
2013-05-01,8682.0
2013-06-01,6919.0
2013-07-01,7026.0
2013-08-01,5373.0
2013-09-01,6537.0
2013-10-01,5332.0
2013-11-01,6977.0
2013-12-01,9324.0
2014-01-01,6801.0
2014-02-01,7095.0
2014-03-01,13493.0
2014-04-01,6782.0
2014-05-01,9939.0
2014-06-01,7756.0
2014-07-01,6149.0
2014-08-01,7434.0
2014-09-01,7842.0
2014-10-01,4867.0
2014-11-01,6229.0
2014-12-01,8495.0
2015-01-01,4975.0
2015-02-01,5277.0
2015-03-01,6818.0
2015-04-01,7358.0
2015-05-01,7529.0
2015-06-01,8203.0
2015-07-01,7068.0
2015-08-01,7422.0
