Tarih,TP_AB_A08
2000-01-03,-1339473.8
2000-01-04,-1344488.1
2000-01-05,-1316552.2
2000-01-06,-1313481.3
2000-01-07,-1312526.8
2000-01-10,
2000-01-11,-1311851.8
2000-01-12,-1335367.7
2000-01-13,-1333935.3
2000-01-14,-1339316.1
2000-01-17,-1351393.7
2000-01-18,-1369600.6
2000-01-19,-1369289.3
2000-01-20,-1369703.1
2000-01-21,-1372724.1
2000-01-24,-1375325.9
2000-01-25,-1384633.0
2000-01-26,-1386010.9
2000-01-27,-1387962.3
2000-01-28,-1393244.5
2000-01-31,-1398418.0
2000-02-01,-1403111.6
2000-02-02,-1406291.6
2000-02-03,-1409617.1
2000-02-04,-1410000.0
2000-02-07,-1411953.8
2000-02-08,-1419461.4
2000-02-09,-1412278.5
2000-02-10,-1413294.3
2000-02-11,-1419997.7
2000-02-14,-1426008.4
2000-02-15,-220269.0
2000-02-16,-228372.7
2000-02-17,-100658.4
2000-02-18,-90983.0
2000-02-21,-98182.7
2000-02-22,-105949.1
2000-02-23,-96905.1
2000-02-24,-98320.5
2000-02-25,-110115.5
2000-02-28,-118680.8
2000-02-29,-136031.2
2000-03-01,-136507.9
2000-03-02,-141700.7
2000-03-03,-138999.7
2000-03-06,-146569.0
2000-03-07,-158487.9
2000-03-08,-163912.9
2000-03-09,-167657.3
2000-03-10,-165285.6
2000-03-13,-168316.4
2000-03-14,-169047.4
2000-03-15,-177441.9
2000-03-16,
2000-03-17,
2000-03-20,-177590.9
2000-03-21,-191393.5
2000-03-22,-195035.6
2000-03-23,-204543.9
2000-03-24,-201345.4
2000-03-27,-203545.2
2000-03-28,-211617.1
2000-03-29,-218682.5
2000-03-30,-226856.4
2000-03-31,-232339.6
2000-04-03,-234997.7
2000-04-04,-240600.7
2000-04-05,-245058.4
2000-04-06,-238883.0
2000-04-07,-246352.7
2000-04-10,-252047.4
2000-04-11,-257318.3
2000-04-12,-260420.2
2000-04-13,-264900.3
2000-04-14,-267196.7
2000-04-17,-265440.7
2000-04-18,-274540.8
2000-04-19,-281883.9
2000-04-20,-286779.0
2000-04-21,-294943.1
2000-04-24,-297114.8
2000-04-25,-300784.3
2000-04-26,-310529.5
2000-04-27,-315063.3
2000-04-28,-317407.6
2000-05-01,-324829.1
2000-05-02,-334799.4
2000-05-03,-335020.1
2000-05-04,-346591.7
2000-05-05,-348352.4
2000-05-08,-348303.7
2000-05-09,-358963.4
2000-05-10,-360738.5
2000-05-11,-354655.5
2000-05-12,-359193.6
2000-05-15,-364593.9
2000-05-16,-366030.2
2000-05-17,-375822.6
2000-05-18,-386172.7
2000-05-19,
2000-05-22,-389455.7
2000-05-23,-393986.2
2000-05-24,-389051.0
2000-05-25,-393815.3
