Tarih,TP_AB_A15
2000-01-03,1946769.0
2000-01-04,2046928.0
2000-01-05,1726956.0
2000-01-06,1732633.0
2000-01-07,1816950.0
2000-01-10,
2000-01-11,1842327.0
2000-01-12,2073863.0
2000-01-13,2218077.0
2000-01-14,2424744.0
2000-01-17,2560985.0
2000-01-18,1909363.0
2000-01-19,2127757.0
2000-01-20,2207857.0
2000-01-21,2121385.0
2000-01-24,1878742.0
2000-01-25,1451362.0
2000-01-26,1549933.0
2000-01-27,1456530.0
2000-01-28,1425962.0
2000-01-31,1474177.0
2000-02-01,1721053.0
2000-02-02,2020460.0
2000-02-03,2088112.0
2000-02-04,2045125.0
2000-02-07,1865527.0
2000-02-08,1840065.0
2000-02-09,2340673.0
2000-02-10,2464780.0
2000-02-11,2663917.0
2000-02-14,2875535.0
2000-02-15,2950630.0
2000-02-16,3099991.0
2000-02-17,3467371.0
2000-02-18,2804247.0
2000-02-21,2663810.0
2000-02-22,2721354.0
2000-02-23,2726640.0
2000-02-24,2843247.0
2000-02-25,2772955.0
2000-02-28,2736399.0
2000-02-29,2602132.0
2000-03-01,2840122.0
2000-03-02,2788152.0
2000-03-03,2713184.0
2000-03-06,2791502.0
2000-03-07,2797233.0
2000-03-08,2894597.0
2000-03-09,2800139.0
2000-03-10,2736710.0
2000-03-13,2681449.0
2000-03-14,2737990.0
2000-03-15,3281636.0
2000-03-16,
2000-03-17,
2000-03-20,3259343.0
2000-03-21,3284704.0
2000-03-22,3233735.0
2000-03-23,3108520.0
2000-03-24,3026071.0
2000-03-27,2997334.0
2000-03-28,2991150.0
2000-03-29,2860514.0
2000-03-30,2885979.0
2000-03-31,2934094.0
2000-04-03,2927308.0
2000-04-04,2912598.0
2000-04-05,2893415.0
2000-04-06,2814553.0
2000-04-07,2918185.0
2000-04-10,2894242.0
2000-04-11,2930840.0
2000-04-12,2848032.0
2000-04-13,2709755.0
2000-04-14,2653758.0
2000-04-17,2738594.0
2000-04-18,2663201.0
2000-04-19,2825120.0
2000-04-20,2871389.0
2000-04-21,2893050.0
2000-04-24,2780322.0
2000-04-25,2664122.0
2000-04-26,2628391.0
2000-04-27,2606355.0
2000-04-28,2588216.0
2000-05-01,2657102.0
2000-05-02,2831137.0
2000-05-03,2973777.0
2000-05-04,3143168.0
2000-05-05,3127642.0
2000-05-08,3108966.0
2000-05-09,3131120.0
2000-05-10,3168698.0
2000-05-11,3147805.0
2000-05-12,3368651.0
2000-05-15,3289204.0
2000-05-16,3267753.0
2000-05-17,3593862.0
2000-05-18,3774672.0
2000-05-19,
2000-05-22,3598847.0
2000-05-23,3581906.0
2000-05-24,3441340.0
2000-05-25,3085969.0
2000-05-26,3022608.0
2000-05-29,2977342.0
2000-05-30,3008961.0
2000-05-31,2917762.0
2000-06-01,3255133.0
2000-06-02,3287710.0
2000-06-05,3102074.0
2000-06-06,3145422.0
2000-06-07,3239216.0
2000-06-08,3227778.0
2000-06-09,3180702.0
2000-06-12,3270390.0
2000-06-13,3537785.0
2000-06-14,3593885.0
2000-06-15,3641983.0
2000-06-16,3479836.0
2000-06-19,3414209.0
2000-06-20,3258462.0
2000-06-21,3285105.0
2000-06-22,3231467.0
2000-06-23,2886318.0
2000-06-26,3070687.0
2000-06-27,3145240.0
2000-06-28,3121430.0
2000-06-29,3085631.0
2000-06-30,3068117.0
2000-07-03,3012407.0
2000-07-04,3038244.0
2000-07-05,2846664.0
2000-07-06,2850820.0
2000-07-07,2823810.0
2000-07-10,2810485.0
2000-07-11,2803753.0
2000-07-12,2901989.0
2000-07-13,3073242.0
2000-07-14,3030545.0
2000-07-17,3137334.0
2000-07-18,3178922.0
2000-07-19,3187951.0
2000-07-20,2987415.0
2000-07-21,2980438.0
2000-07-24,2986280.0
2000-07-25,2964080.0
2000-07-26,2501204.0
2000-07-27,2070206.0
2000-07-28,1964998.0
2000-07-31,2052140.0
2000-08-01,2158303.0
2000-08-02,2166916.0
2000-08-03,2172618.0
2000-08-04,2184175.0
2000-08-07,2210430.0
2000-08-08,2221231.0
2000-08-09,2166582.0
2000-08-10,2174568.0
2000-08-11,2299064.0
2000-08-14,2325541.0
2000-08-15,2370920.0
2000-08-16,2460101.0
2000-08-17,2378812.0
2000-08-18,2434417.0
2000-08-21,2413756.0
2000-08-22,2414459.0
2000-08-23,3223876.0
2000-08-24,3193171.0
2000-08-25,3311812.0
2000-08-28,3363965.0
2000-08-29,3228777.0
2000-08-30,
2000-08-31,3115233.0
2000-09-01,3497209.0
2000-09-04,3478341.0
2000-09-05,3381053.0
2000-09-06,3344706.0
2000-09-07,3247335.0
2000-09-08,3245560.0
2000-09-11,3221294.0
2000-09-12,3218856.0
2000-09-13,3453751.0
2000-09-14,3620341.0
2000-09-15,3484672.0
