Tarih,TP_AB_N14,TP_AB_N14
2000-01-07,2000-1,
2000-01-14,2000-2,
2000-01-21,2000-3,
2000-01-28,2000-4,
2000-02-04,2000-5,
2000-02-11,2000-6,
2000-02-18,2000-7,
2000-02-25,2000-8,
2000-03-03,2000-9,
2000-03-10,2000-10,
2000-03-17,2000-11,
2000-03-24,2000-12,
2000-03-31,2000-13,
2000-04-07,2000-14,
2000-04-14,2000-15,
2000-04-21,2000-16,
2000-04-28,2000-17,
2000-05-05,2000-18,
2000-05-12,2000-19,
2000-05-19,2000-20,
2000-05-26,2000-21,
2000-06-02,2000-22,
2000-06-09,2000-23,
2000-06-16,2000-24,
2000-06-23,2000-25,
2000-06-30,2000-26,
2000-07-07,2000-27,
2000-07-14,2000-28,
2000-07-21,2000-29,
2000-07-28,2000-30,
2000-08-04,2000-31,
2000-08-11,2000-32,
2000-08-18,2000-33,
2000-08-25,2000-34,
2000-09-01,2000-35,
2000-09-08,2000-36,
2000-09-15,2000-37,
2000-09-22,2000-38,
2000-09-29,2000-39,
2000-10-06,2000-40,
2000-10-13,2000-41,
2000-10-20,2000-42,
2000-10-27,2000-43,
2000-11-03,2000-44,
2000-11-10,2000-45,
2000-11-17,2000-46,
2000-11-24,2000-47,
2000-12-01,2000-48,
2000-12-08,2000-49,
2000-12-15,2000-50,
2000-12-22,2000-51,
2000-12-29,2000-52,
2001-01-05,2001-1,
2001-01-12,2001-2,
2001-01-19,2001-3,
2001-01-26,2001-4,
2001-02-02,2001-5,
2001-02-09,2001-6,
2001-02-16,2001-7,
2001-02-23,2001-8,
2001-03-02,2001-9,
2001-03-09,2001-10,
2001-03-16,2001-11,
2001-03-23,2001-12,
2001-03-30,2001-13,
2001-04-06,2001-14,
2001-04-13,2001-15,
2001-04-20,2001-16,
2001-04-27,2001-17,
2001-05-04,2001-18,
2001-05-11,2001-19,
2001-05-18,2001-20,
2001-05-25,2001-21,
2001-06-01,2001-22,
2001-06-08,2001-23,
2001-06-15,2001-24,
2001-06-22,2001-25,
2001-06-29,2001-26,
2001-07-06,2001-27,
2001-07-13,2001-28,
2001-07-20,2001-29,
2001-07-27,2001-30,
2001-08-03,2001-31,
2001-08-10,2001-32,
2001-08-17,2001-33,
2001-08-24,2001-34,
2001-08-31,2001-35,
2001-09-07,2001-36,
2001-09-14,2001-37,
2001-09-21,2001-38,
2001-09-28,2001-39,
2001-10-05,2001-40,
2001-10-12,2001-41,
2001-10-19,2001-42,
2001-10-26,2001-43,
2001-11-02,2001-44,
2001-11-09,2001-45,
2001-11-16,2001-46,
2001-11-23,2001-47,
2001-11-30,2001-48,
2001-12-07,2001-49,
2001-12-14,2001-50,
2001-12-21,2001-51,
2001-12-28,2001-52,
2002-01-04,2002-1,-11026604.3
2002-01-11,2002-2,-10932319.2
2002-01-18,2002-3,-10684048.2
2002-01-25,2002-4,-10514879.4
2002-02-01,2002-5,-10199267.0
2002-02-08,2002-6,-10422881.3
2002-02-15,2002-7,-10583786.0
2002-02-22,2002-8,-11379333.6
2002-03-01,2002-9,-10941398.7
2002-03-08,2002-10,-10973936.8
2002-03-15,2002-11,-10864091.7
2002-03-22,2002-12,-10762015.3
2002-03-29,2002-13,-10503198.5
2002-04-05,2002-14,-10339852.3
2002-04-12,2002-15,-10406444.9
2002-04-19,2002-16,-10380468.5
2002-04-26,2002-17,-10916863.1
2002-05-03,2002-18,-11177206.4
2002-05-10,2002-19,-11407598.4
2002-05-17,2002-20,-11665808.8
2002-05-24,2002-21,-11989024.6
2002-05-31,2002-22,-12063313.2
2002-06-07,2002-23,-12273471.9
2002-06-14,2002-24,-13727594.1
2002-06-21,2002-25,-13279629.2
2002-06-28,2002-26,-14236356.4
2002-07-05,2002-27,-14414948.1
2002-07-12,2002-28,-14954629.1
2002-07-19,2002-29,-15220234.5
2002-07-26,2002-30,-15420716.0
2002-08-02,2002-31,-15103700.8
2002-08-09,2002-32,-14603347.5
2002-08-16,2002-33,-15123527.2
2002-08-23,2002-34,-15146496.4
2002-08-30,2002-35,-15299802.8
2002-09-06,2002-36,-15405191.5
2002-09-13,2002-37,-15594833.5
2002-09-20,2002-38,-15749653.9
2002-09-27,2002-39,-15618416.7
2002-10-04,2002-40,-15477041.1
2002-10-11,2002-41,-15916619.0
2002-10-18,2002-42,-15866751.7
2002-10-25,2002-43,-15779977.6
2002-11-01,2002-44,-16017870.4
2002-11-08,2002-45,-15729119.8
2002-11-15,2002-46,-15705059.9
2002-11-22,2002-47,-15226454.7
2002-11-29,2002-48,-14887727.7
2002-12-06,2002-49,-14752637.9
2002-12-13,2002-50,-16954959.6
2002-12-20,2002-51,-16759057.5
2002-12-27,2002-52,-17369357.9
2003-01-03,2003-1,-17422537.5
2003-01-10,2003-2,-17614868.0
2003-01-17,2003-3,-17495618.1
2003-01-24,2003-4,-17819786.3
2003-01-31,2003-5,-17520429.4
2003-02-07,2003-6,-18569894.3
2003-02-14,2003-7,-18488271.3
2003-02-21,2003-8,-17523162.9
2003-02-28,2003-9,-17364179.6
2003-03-07,2003-10,-17612077.3
2003-03-14,2003-11,-17974962.5
2003-03-21,2003-12,-18172621.6
2003-03-28,2003-13,-18073831.9
2003-04-04,2003-14,-17401168.6
2003-04-11,2003-15,-17530513.9
2003-04-18,2003-16,-16910221.4
2003-04-25,2003-17,-17186131.4
2003-05-02,2003-18,-17287630.6
2003-05-09,2003-19,-17162426.7
2003-05-16,2003-20,-17259915.8
2003-05-23,2003-21,-17479773.3
2003-05-30,2003-22,-17257267.8
2003-06-06,2003-23,-17183207.5
2003-06-13,2003-24,-17438716.0
2003-06-20,2003-25,-16957081.0
2003-06-27,2003-26,-16933246.0
2003-07-04,2003-27,-16147333.0
2003-07-11,2003-28,-16465233.0
2003-07-18,2003-29,-15592649.0
2003-07-25,2003-30,-16486779.0
2003-08-01,2003-31,-16119125.0
2003-08-08,2003-32,-15981258.0
2003-08-15,2003-33,-15853576.0
2003-08-22,2003-34,-15338443.0
2003-08-29,2003-35,-15409520.0
2003-09-05,2003-36,-14893888.0
2003-09-12,2003-37,-15637552.0
2003-09-19,2003-38,-15373370.0
2003-09-26,2003-39,-15866431.0
2003-10-03,2003-40,-16475664.0
2003-10-10,2003-41,-16274747.0
2003-10-17,2003-42,-16609629.0
2003-10-24,2003-43,-17408986.0
2003-10-31,2003-44,-17645681.0
2003-11-07,2003-45,-17094065.0
2003-11-14,2003-46,-17269058.0
2003-11-21,2003-47,-18532335.0
2003-11-28,2003-48,-17621671.0
2003-12-05,2003-49,-17651848.0
2003-12-12,2003-50,-18000488.0
2003-12-19,2003-51,-18023866.0
2003-12-26,2003-52,-17959481.0
2004-01-02,2004-1,-18123283.0
2004-01-09,2004-2,-17887301.0
2004-01-16,2004-3,-17624561.0
2004-01-23,2004-4,-17508464.0
2004-01-30,2004-5,-17540377.0
2004-02-06,2004-6,-17322278.0
2004-02-13,2004-7,-18173220.0
2004-02-20,2004-8,-17473065.0
2004-02-27,2004-9,-17329712.0
2004-03-05,2004-10,-16710808.0
2004-03-12,2004-11,-16933286.0
2004-03-19,2004-12,-16934529.0
2004-03-26,2004-13,-16709397.0
2004-04-02,2004-14,-16712628.0
2004-04-09,2004-15,-17028287.0
2004-04-16,2004-16,-17036235.0
2004-04-23,2004-17,-17048659.0
2004-04-30,2004-18,-17940732.0
2004-05-07,2004-19,-18391429.0
2004-05-14,2004-20,-19232128.0
2004-05-21,2004-21,-19160664.0
2004-05-28,2004-22,-19180680.0
2004-06-04,2004-23,-19352842.0
2004-06-11,2004-24,-18933294.0
2004-06-18,2004-25,-18672048.0
2004-06-25,2004-26,-18667392.0
2004-07-02,2004-27,-18532687.0
2004-07-09,2004-28,-19215425.0
2004-07-16,2004-29,-18407222.0
2004-07-23,2004-30,-18448682.0
2004-07-30,2004-31,-18322166.0
2004-08-06,2004-32,-18248815.0
2004-08-13,2004-33,-18593113.0
2004-08-20,2004-34,-18675015.0
2004-08-27,2004-35,-18907958.0
2004-09-03,2004-36,-18714031.0
2004-09-10,2004-37,-18570129.0
2004-09-17,2004-38,-18681905.0
2004-09-24,2004-39,-18855528.0
2004-10-01,2004-40,-18971227.0
2004-10-08,2004-41,-18814342.0
2004-10-15,2004-42,-18627884.0
2004-10-22,2004-43,-19014635.0
2004-10-29,2004-44,-19384181.0
2004-11-05,2004-45,-19546002.0
2004-11-12,2004-46,-19284182.0
2004-11-19,2004-47,-19331328.0
2004-11-26,2004-48,-19706617.0
2004-12-03,2004-49,-19747191.0
2004-12-10,2004-50,-19701871.0
2004-12-17,2004-51,-19738142.0
2004-12-24,2004-52,-19309925.0
2004-12-31,2004-53,-19083197.0
2005-01-07,2005-1,-19200561.0
2005-01-14,2005-2,-18993637.0
2005-01-21,2005-3,-18411065.0
2005-01-28,2005-4,-18262014.0
2005-02-04,2005-5,-18089391.0
2005-02-11,2005-6,-18068310.0
2005-02-18,2005-7,-18656496.0
2005-02-25,2005-8,-18115120.0
2005-03-04,2005-9,-17481777.0
2005-03-11,2005-10,-18150831.0
2005-03-18,2005-11,-18432526.0
2005-03-25,2005-12,-18226624.0
2005-04-01,2005-13,-18116135.0
2005-04-08,2005-14,-17995053.0
2005-04-15,2005-15,-18086195.0
2005-04-22,2005-16,-18297387.0
2005-04-29,2005-17,-18477079.0
2005-05-06,2005-18,-17900045.0
2005-05-13,2005-19,-17768821.0
2005-05-20,2005-20,-17807660.0
2005-05-27,2005-21,-17782784.0
2005-06-03,2005-22,-16970416.0
2005-06-10,2005-23,-16993819.0
2005-06-17,2005-24,-16974229.0
2005-06-24,2005-25,-16710636.0
2005-07-01,2005-26,-16578382.0
2005-07-08,2005-27,-16603262.0
2005-07-15,2005-28,-16459754.0
2005-07-22,2005-29,-16516559.0
2005-07-29,2005-30,-16412209.0
2005-08-05,2005-31,-16497935.0
2005-08-12,2005-32,-16814036.0
2005-08-19,2005-33,-16938954.0
2005-08-26,2005-34,-17010470.0
2005-09-02,2005-35,-16725466.0
2005-09-09,2005-36,-16740732.0
2005-09-16,2005-37,-16612570.0
2005-09-23,2005-38,-16417373.0
2005-09-30,2005-39,-16262589.0
2005-10-07,2005-40,-16456549.0
2005-10-14,2005-41,-16881825.0
2005-10-21,2005-42,-16456859.0
2005-10-28,2005-43,-17093040.0
2005-11-04,2005-44,-16781901.0
2005-11-11,2005-45,-16672526.0
2005-11-18,2005-46,-16361648.0
