Tarih,TP_DF_TU_ORT
2000-01-03,540672.0983607
2000-01-04,536933.8130081
2000-01-05,535374.8774834
2000-01-06,535989.5562914
2000-01-07,537245.5757576
2000-01-10,
2000-01-11,539307.2241379
2000-01-12,539664.6938776
2000-01-13,540234.4188034
2000-01-14,542433.1025641
2000-01-17,546545.0
2000-01-18,546294.6526316
2000-01-19,546185.9146341
2000-01-20,546858.4020619
2000-01-21,546658.4597701
2000-01-24,550267.4358974
2000-01-25,551012.0620438
2000-01-26,551347.7702703
2000-01-27,552778.2416107
2000-01-28,555905.355102
2000-01-31,558441.9222222
2000-02-01,561009.2210066
2000-02-02,560951.1013384
2000-02-03,560793.2651163
2000-02-04,558632.2592593
2000-02-07,561592.4403974
2000-02-08,559814.5479452
2000-02-09,559194.8659004
2000-02-10,560495.8705882
2000-02-11,562156.0
2000-02-14,561943.8571429
2000-02-15,564432.336
2000-02-16,564501.9050633
2000-02-17,561960.2733119
2000-02-18,564321.6915167
2000-02-21,564649.5824037
2000-02-22,561755.7807018
2000-02-23,561205.9482759
2000-02-24,564798.2909091
2000-02-25,567784.7699115
2000-02-28,573595.0704225
2000-02-29,572108.4477612
2000-03-01,573355.8514589
2000-03-02,572491.7973856
2000-03-03,574879.5931034
2000-03-06,576650.6040268
2000-03-07,577823.7529412
2000-03-08,579349.1888112
2000-03-09,578341.8956522
2000-03-10,577706.9295775
2000-03-13,577319.8723404
2000-03-14,579763.7314815
2000-03-15,578690.8333333
2000-03-16,
2000-03-17,
2000-03-20,579961.7237762
2000-03-21,580395.6515152
2000-03-22,583734.2727273
2000-03-23,583360.0704225
2000-03-24,581619.461039
2000-03-27,581974.4285714
2000-03-28,584545.0
2000-03-29,587449.1016949
2000-03-30,587963.0740741
2000-03-31,588342.8548387
2000-04-03,589879.325
2000-04-04,590056.7884615
2000-04-05,586721.8076923
2000-04-06,588547.1413043
2000-04-07,590251.6984127
2000-04-10,590789.0495868
2000-04-11,590684.6363636
2000-04-12,591754.9444444
2000-04-13,593266.0662983
2000-04-14,593048.5992509
2000-04-17,593034.2509653
2000-04-18,596126.0940171
2000-04-19,597100.4545455
2000-04-20,599652.443038
2000-04-21,599758.8431373
2000-04-24,600232.4875
2000-04-25,603535.8
2000-04-26,606695.8446602
2000-04-27,606667.5283019
2000-04-28,610138.805
2000-05-01,610803.016
2000-05-02,610722.3959044
2000-05-03,616580.5294118
2000-05-04,616606.2708333
2000-05-05,615873.0326087
2000-05-08,617127.6097561
2000-05-09,616983.3809524
2000-05-10,613745.983871
2000-05-11,614529.6333333
2000-05-12,616062.7506631
2000-05-15,614329.9117647
2000-05-16,616800.0
2000-05-17,621207.6884422
2000-05-18,621104.4571429
2000-05-19,
2000-05-22,621119.6872428
2000-05-23,618525.352
2000-05-24,619047.2352941
2000-05-25,621422.544186
2000-05-26,618135.2790698
2000-05-29,616321.0
2000-05-30,613439.8311688
2000-05-31,615512.3913043
2000-06-01,614196.0774487
2000-06-02,613100.1875
2000-06-05,613871.5223368
2000-06-06,612354.9292929
2000-06-07,611097.7029703
2000-06-08,608614.1764706
2000-06-09,613430.6764706
2000-06-12,613540.9230769
2000-06-13,612362.1538462
2000-06-14,611037.2608696
2000-06-15,614177.1818182
2000-06-16,613698.5388601
2000-06-19,612838.5
2000-06-20,615791.4723926
2000-06-21,618316.4150943
2000-06-22,620069.3553719
2000-06-23,621411.1981132
2000-06-26,623605.2475248
2000-06-27,622004.6956522
2000-06-28,621929.9014085
2000-06-29,620203.4782609
2000-06-30,618516.8479167
2000-07-03,621299.5384615
2000-07-04,621378.6486486
2000-07-05,620651.6967213
2000-07-06,620118.3928571
2000-07-07,622340.4755245
2000-07-10,622259.4324324
2000-07-11,622496.0
2000-07-12,623432.4214876
2000-07-13,627103.1451613
2000-07-14,628322.6864407
2000-07-17,628354.6167147
2000-07-18,629068.7192982
2000-07-19,633086.2580645
2000-07-20,633577.482866
2000-07-21,629989.0169492
2000-07-24,631515.5172414
2000-07-25,629644.1555556
2000-07-26,629845.8285322
2000-07-27,630581.2240896
2000-07-28,634094.6198347
2000-07-31,635563.6586103
2000-08-01,634990.4
2000-08-02,638481.3692308
2000-08-03,641933.8
2000-08-04,642620.8055556
2000-08-07,641730.0
2000-08-08,643981.0
2000-08-09,646063.4285714
2000-08-10,644138.5348837
2000-08-11,641878.625
2000-08-14,645630.8548387
2000-08-15,643327.4953271
2000-08-16,643700.3777778
2000-08-17,643448.6763285
2000-08-18,643547.7073171
2000-08-21,647455.8947368
2000-08-22,649050.380531
2000-08-23,651453.6121673
2000-08-24,648771.4634146
2000-08-25,648640.7946128
2000-08-28,649786.7608696
2000-08-29,650649.2138365
2000-08-30,
2000-08-31,652850.4429825
2000-09-01,654152.4390651
2000-09-04,652650.0
2000-09-05,654971.2339181
2000-09-06,658342.5878788
2000-09-07,662606.5194805
2000-09-08,661701.1698113
2000-09-11,666417.0444444
2000-09-12,666408.4831461
2000-09-13,665366.8787879
2000-09-14,664439.3917051
2000-09-15,666380.7116105
2000-09-18,670419.8625
2000-09-19,670480.7894737
2000-09-20,673188.3611111
2000-09-21,671620.8783069
2000-09-22,660976.8189655
2000-09-25,664758.7435897
2000-09-26,665734.456
2000-09-27,663399.5551471
2000-09-28,663947.4710526
2000-09-29,665919.1743119
