Tarih,TP_TEDAVULADT_T20
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,64092306.0
2009-02-01,90841135.5
2009-03-01,102041421.5
2009-04-01,113360739.0
2009-05-01,116945558.0
2009-06-01,118271254.5
2009-07-01,122386182.5
2009-08-01,122156041.0
2009-09-01,129304748.5
2009-10-01,130115468.0
2009-11-01,149377115.5
2009-12-01,127276730.0
2010-01-01,121970059.0
2010-02-01,121792133.0
2010-03-01,119285076.0
2010-04-01,124158655.0
2010-05-01,125188914.5
2010-06-01,129076286.5
2010-07-01,135940556.0
2010-08-01,137133195.5
2010-09-01,138848967.0
2010-10-01,146353791.5
2010-11-01,139936243.0
2010-12-01,138634595.5
2011-01-01,134659868.5
2011-02-01,134189694.0
2011-03-01,133366897.0
2011-04-01,140348576.5
2011-05-01,139603064.5
2011-06-01,143536838.0
2011-07-01,150678373.0
2011-08-01,170476466.0
2011-09-01,154168148.5
2011-10-01,152985961.0
2011-11-01,144306606.5
2011-12-01,144142683.0
2012-01-01,135903088.5
2012-02-01,134563940.5
2012-03-01,143706225.0
2012-04-01,149169916.5
2012-05-01,149230486.5
2012-06-01,160547517.5
2012-07-01,157473240.5
2012-08-01,170064117.0
2012-09-01,166664275.5
2012-10-01,175768281.0
2012-11-01,162115595.0
2012-12-01,161599412.0
2013-01-01,154606464.5
2013-02-01,155393010.5
2013-03-01,161114990.0
2013-04-01,165147319.0
2013-05-01,169602331.5
2013-06-01,179708862.0
2013-07-01,179745265.0
2013-08-01,191829974.0
2013-09-01,189043591.0
2013-10-01,190875747.5
2013-11-01,185443891.0
2013-12-01,181433443.5
2014-01-01,178610761.5
2014-02-01,176239368.0
2014-03-01,176941138.5
2014-04-01,179652642.5
2014-05-01,182294812.0
2014-06-01,186590566.0
2014-07-01,210054419.5
2014-08-01,196746394.0
2014-09-01,202264756.5
2014-10-01,197315640.0
2014-11-01,192185290.0
