Tarih,TP_TEDAVULTUT_T100
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,3995110300.0
2009-02-01,6300655650.0
2009-03-01,8061802900.0
2009-04-01,9927228400.0
2009-05-01,10642014150.0
2009-06-01,11566199100.0
2009-07-01,12250613400.0
2009-08-01,12959362300.0
2009-09-01,14006149900.0
2009-10-01,14423029450.0
2009-11-01,17321263000.0
2009-12-01,15553557200.0
2010-01-01,15419776200.0
2010-02-01,16101900800.0
2010-03-01,16460465000.0
2010-04-01,17460068550.0
2010-05-01,17586253550.0
2010-06-01,18140692900.0
2010-07-01,18949867200.0
2010-08-01,19540627150.0
2010-09-01,19814860300.0
2010-10-01,21147045150.0
2010-11-01,21043850800.0
2010-12-01,21943002100.0
2011-01-01,21915018150.0
2011-02-01,22421339500.0
2011-03-01,22981886750.0
2011-04-01,24445403800.0
2011-05-01,24321118850.0
2011-06-01,25294324650.0
2011-07-01,26055223450.0
2011-08-01,29708476400.0
2011-09-01,26899098450.0
2011-10-01,27201118050.0
2011-11-01,25797953500.0
2011-12-01,25862219250.0
2012-01-01,24485743900.0
2012-02-01,24255653700.0
2012-03-01,25341212350.0
2012-04-01,26032270650.0
2012-05-01,25392211750.0
2012-06-01,27256986200.0
2012-07-01,26743864000.0
2012-08-01,28871533000.0
2012-09-01,29105158700.0
2012-10-01,30727096150.0
2012-11-01,29031460550.0
2012-12-01,29440997400.0
2013-01-01,28641936800.0
2013-02-01,29306635550.0
2013-03-01,30723731350.0
2013-04-01,31324480950.0
2013-05-01,32357555550.0
2013-06-01,35299137850.0
2013-07-01,35741795950.0
2013-08-01,37591742200.0
2013-09-01,38076837400.0
2013-10-01,37804499000.0
2013-11-01,37536096400.0
2013-12-01,37633392750.0
2014-01-01,37515510500.0
2014-02-01,38247119000.0
2014-03-01,39035688750.0
2014-04-01,39796701150.0
2014-05-01,40281198250.0
2014-06-01,41342351650.0
