Tarih,TP_TG2_Y11
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,80.8009659251
2012-02-01,80.6112150505
2012-03-01,78.1810381593
2012-04-01,74.9527427903
2012-05-01,80.5328879011
2012-06-01,80.4846021201
2012-07-01,80.5022756957
2012-08-01,74.6122575546
2012-09-01,74.0863474965
2012-10-01,73.2193128014
2012-11-01,74.3389378271
2012-12-01,72.5637187087
2013-01-01,75.4367787785
2013-02-01,75.033
2013-03-01,74.611
2013-04-01,76.1214121336
2013-05-01,76.797
2013-06-01,75.961
2013-07-01,76.04
2013-08-01,77.168
2013-09-01,71.672
2013-10-01,76.045
2013-11-01,75.884
2013-12-01,74.797
2014-01-01,75.8459515118
2014-02-01,71.7661805447
2014-03-01,78.7109767375
2014-04-01,79.5691831016
2014-05-01,78.1495906225
2014-06-01,82.0181996505
2014-07-01,79.726842083
2014-08-01,77.1643284564
2014-09-01,77.3383219553
2014-10-01,78.9500588192
2014-11-01,76.3711369743
2014-12-01,72.5325997943
2015-01-01,73.0749948079
2015-02-01,75.1929124365
2015-03-01,70.8025363871
2015-04-01,74.1636767991
2015-05-01,71.3398907869
2015-06-01,74.2275468213
2015-07-01,74.0592567197
2015-08-01,72.2952446185
2015-09-01,71.0518163169
2015-10-01,70.1488123966
2015-11-01,72.7845114658
2015-12-01,71.7719212618
