Tarih,TP_DB_B24
2000-01-01,2129.0
2000-04-01,2108.0
2000-07-01,2110.0
2000-10-01,2123.0
2001-01-01,2034.0
2001-04-01,1839.0
2001-07-01,1811.0
2001-10-01,1709.0
2002-01-01,1609.0
2002-04-01,1579.0
2002-07-01,1492.0
2002-10-01,1459.0
2003-01-01,1412.0
2003-04-01,1342.0
2003-07-01,1300.0
2003-10-01,1280.0
2004-01-01,1228.0
2004-04-01,1168.0
2004-07-01,1122.0
2004-10-01,1112.0
2005-01-01,1039.0
2005-04-01,946.0
2005-07-01,889.0
2005-10-01,960.0
2006-01-01,956.0
2006-04-01,1008.0
2006-07-01,1006.0
2006-10-01,1030.0
2007-01-01,1089.0
2007-04-01,1154.0
2007-07-01,1301.0
2007-10-01,1505.0
2008-01-01,1736.0
2008-04-01,2073.0
2008-07-01,2166.0
2008-10-01,2494.0
2009-01-01,2552.0
2009-04-01,2700.0
2009-07-01,2917.0
2009-10-01,3024.0
2010-01-01,3200.0
2010-04-01,3142.0
2010-07-01,3537.0
2010-10-01,3618.0
2011-01-01,3819.0
2011-04-01,4033.0
2011-07-01,3984.0
2011-10-01,3788.0
2012-01-01,3934.0
2012-04-01,3674.0
2012-07-01,3823.0
2012-10-01,3767.0
2013-01-01,3664.0
2013-04-01,3595.0
2013-07-01,3681.0
2013-10-01,3660.0
2014-01-01,3603.0
2014-04-01,3466.0
2014-07-01,3252.0
2014-10-01,3049.0
2015-01-01,2782.0
2015-04-01,2748.0
2015-07-01,2783.0
2015-10-01,2707.0
2016-01-01,2774.0
2016-04-01,2694.0
2016-07-01,3009.0
2016-10-01,2911.0
2017-01-01,3002.0
2017-04-01,3213.0
2017-07-01,3274.0
2017-10-01,3234.0
2018-01-01,3519.0
2018-04-01,3309.0
2018-07-01,3326.0
2018-10-01,3279.0
2019-01-01,3240.0
2019-04-01,3205.0
2019-07-01,3012.0
2019-10-01,3308.0
2020-01-01,3364.0
2020-04-01,3484.0
2020-07-01,3640.0
2020-10-01,4410.0
2021-01-01,4175.0
2021-04-01,4216.0
2021-07-01,4083.0
2021-10-01,4119.0
2022-01-01,3934.0
2022-04-01,4029.0
2022-07-01,3688.0
2022-10-01,4060.0
2023-01-01,3951.0
2023-04-01,3978.0
2023-07-01,3849.0
2023-10-01,4713.0
2024-01-01,4489.0
2024-04-01,4667.0
2024-07-01,4673.0
2024-10-01,4555.0
2025-01-01,4511.0
2025-04-01,4658.0
