Tarih,TP_DB_B32
2000-01-01,9957.0
2000-04-01,10358.0
2000-07-01,10118.0
2000-10-01,13436.0
2001-01-01,14285.0
2001-04-01,17691.0
2001-07-01,22082.0
2001-10-01,23598.0
2002-01-01,17452.0
2002-04-01,19183.0
2002-07-01,19361.0
2002-10-01,20347.0
2003-01-01,20651.0
2003-04-01,21363.0
2003-07-01,20814.0
2003-10-01,21513.0
2004-01-01,20014.0
2004-04-01,18764.0
2004-07-01,17799.0
2004-10-01,18122.0
2005-01-01,16288.0
2005-04-01,14222.0
2005-07-01,13375.0
2005-10-01,12662.0
2006-01-01,12764.0
2006-04-01,12997.0
2006-07-01,12929.0
2006-10-01,13114.0
2007-01-01,13134.0
2007-04-01,13054.0
2007-07-01,13298.0
2007-10-01,13519.0
2008-01-01,14232.0
2008-04-01,13930.0
2008-07-01,12359.0
2008-10-01,12192.0
2009-01-01,11230.0
2009-04-01,11743.0
2009-07-01,11728.0
2009-10-01,11398.0
2010-01-01,10698.0
2010-04-01,9649.0
2010-07-01,10472.0
2010-10-01,10011.0
2011-01-01,10397.0
2011-04-01,10282.0
2011-07-01,8965.0
2011-10-01,8094.0
2012-01-01,8082.0
2012-04-01,7186.0
2012-07-01,6366.0
2012-10-01,6043.0
2013-01-01,5648.0
2013-04-01,5423.0
2013-07-01,4735.0
2013-10-01,4392.0
2014-01-01,4091.0
2014-04-01,3619.0
2014-07-01,2518.0
2014-10-01,2133.0
2015-01-01,1812.0
2015-04-01,1700.0
2015-07-01,1336.0
2015-10-01,1143.0
2016-01-01,1123.0
2016-04-01,1002.0
2016-07-01,825.0
2016-10-01,703.0
2017-01-01,0.0
2017-04-01,0.0
2017-07-01,0.0
2017-10-01,0.0
2018-01-01,0.0
2018-04-01,0.0
2018-07-01,0.0
2018-10-01,0.0
2019-01-01,0.0
2019-04-01,0.0
2019-07-01,0.0
2019-10-01,0.0
2020-01-01,0.0
2020-04-01,0.0
2020-07-01,0.0
2020-10-01,0.0
2021-01-01,0.0
2021-04-01,0.0
2021-07-01,0.0
2021-10-01,0.0
2022-01-01,0.0
2022-04-01,0.0
2022-07-01,0.0
2022-10-01,0.0
2023-01-01,0.0
2023-04-01,0.0
2023-07-01,0.0
2023-10-01,0.0
2024-01-01,0.0
2024-04-01,0.0
2024-07-01,0.0
2024-10-01,0.0
2025-01-01,0.0
2025-04-01,0.0
