Tarih,TP_DB_B37
2000-01-01,20096.0
2000-04-01,20677.0
2000-07-01,20512.0
2000-10-01,21662.0
2001-01-01,23120.0
2001-04-01,23257.0
2001-07-01,24107.0
2001-10-01,22691.0
2002-01-01,18569.0
2002-04-01,20806.0
2002-07-01,21709.0
2002-10-01,22218.0
2003-01-01,21599.0
2003-04-01,22149.0
2003-07-01,22343.0
2003-10-01,22598.0
2004-01-01,23592.0
2004-04-01,23811.0
2004-07-01,24651.0
2004-10-01,26081.0
2005-01-01,26253.0
2005-04-01,27208.0
2005-07-01,28079.0
2005-10-01,29337.0
2006-01-01,35002.0
2006-04-01,38201.0
2006-07-01,40894.0
2006-10-01,44634.0
2007-01-01,51741.0
2007-04-01,56890.0
2007-07-01,62380.0
2007-10-01,69795.0
2008-01-01,77490.0
2008-04-01,86894.0
2008-07-01,89314.0
2008-10-01,88521.0
2009-01-01,85327.0
2009-04-01,86261.0
2009-07-01,84647.0
2009-10-01,82444.0
2010-01-01,79290.0
2010-04-01,74854.0
2010-07-01,77780.0
2010-10-01,77354.0
2011-01-01,81145.0
2011-04-01,82392.0
2011-07-01,79936.0
2011-10-01,77414.0
2012-01-01,79193.0
2012-04-01,76987.0
2012-07-01,78012.0
2012-10-01,81593.0
2013-01-01,80559.0
2013-04-01,79544.0
2013-07-01,80434.0
2013-10-01,81546.0
2014-01-01,82561.0
2014-04-01,83463.0
2014-07-01,80853.0
2014-10-01,80698.0
2015-01-01,77087.0
2015-04-01,80240.0
2015-07-01,82539.0
2015-10-01,86150.0
2016-01-01,91102.0
2016-04-01,94336.0
2016-07-01,96551.0
2016-10-01,93585.0
2017-01-01,94046.0
2017-04-01,96758.0
2017-07-01,99416.0
2017-10-01,101647.0
2018-01-01,104295.0
2018-04-01,102385.0
2018-07-01,101984.0
2018-10-01,101359.0
2019-01-01,101464.0
2019-04-01,100425.0
2019-07-01,99767.0
2019-10-01,97665.0
2020-01-01,87649.0
2020-04-01,86454.0
2020-07-01,85067.0
2020-10-01,86708.0
2021-01-01,84841.0
2021-04-01,87698.0
2021-07-01,88360.0
2021-10-01,87605.0
2022-01-01,87744.0
2022-04-01,86095.0
2022-07-01,88468.0
2022-10-01,90672.0
2023-01-01,91756.0
2023-04-01,88649.0
2023-07-01,88237.0
2023-10-01,90392.0
2024-01-01,89076.0
2024-04-01,89828.0
2024-07-01,95257.0
2024-10-01,94484.0
2025-01-01,101567.0
2025-04-01,109117.0
