Tarih,TP_DB_B53
2000-01-01,9040.0
2000-04-01,9052.0
2000-07-01,8790.0
2000-10-01,8705.0
2001-01-01,8306.0
2001-04-01,7869.0
2001-07-01,8392.0
2001-10-01,8403.0
2002-01-01,7578.0
2002-04-01,8279.0
2002-07-01,9219.0
2002-10-01,9410.0
2003-01-01,9301.0
2003-04-01,9421.0
2003-07-01,9467.0
2003-10-01,9664.0
2004-01-01,9521.0
2004-04-01,9158.0
2004-07-01,8941.0
2004-10-01,9142.0
2005-01-01,8636.0
2005-04-01,8134.0
2005-07-01,7828.0
2005-10-01,7483.0
2006-01-01,7338.0
2006-04-01,7214.0
2006-07-01,7079.0
2006-10-01,7212.0
2007-01-01,6995.0
2007-04-01,6969.0
2007-07-01,7283.0
2007-10-01,7414.0
2008-01-01,8104.0
2008-04-01,7866.0
2008-07-01,7793.0
2008-10-01,8284.0
2009-01-01,8012.0
2009-04-01,8263.0
2009-07-01,8669.0
2009-10-01,8664.0
2010-01-01,8972.0
2010-04-01,8829.0
2010-07-01,9528.0
2010-10-01,9593.0
2011-01-01,9772.0
2011-04-01,9826.0
2011-07-01,9875.0
2011-10-01,9719.0
2012-01-01,9749.0
2012-04-01,9737.0
2012-07-01,10440.0
2012-10-01,10564.0
2013-01-01,10430.0
2013-04-01,10811.0
2013-07-01,11493.0
2013-10-01,11810.0
2014-01-01,11942.0
2014-04-01,12107.0
2014-07-01,11852.0
2014-10-01,11858.0
2015-01-01,11487.0
2015-04-01,11717.0
2015-07-01,12084.0
2015-10-01,12533.0
2016-01-01,13079.0
2016-04-01,13783.0
2016-07-01,14117.0
2016-10-01,13830.0
2017-01-01,14299.0
2017-04-01,14792.0
2017-07-01,15629.0
2017-10-01,16938.0
2018-01-01,17979.0
2018-04-01,17770.0
2018-07-01,17518.0
2018-10-01,17882.0
2019-01-01,18003.0
2019-04-01,19398.0
2019-07-01,18805.0
2019-10-01,19940.0
2020-01-01,20043.0
2020-04-01,19482.0
2020-07-01,19330.0
2020-10-01,18667.0
2021-01-01,18678.0
2021-04-01,17493.0
2021-07-01,17373.0
2021-10-01,16941.0
2022-01-01,16546.0
2022-04-01,17027.0
2022-07-01,16436.0
2022-10-01,17132.0
2023-01-01,17789.0
2023-04-01,15296.0
2023-07-01,15464.0
2023-10-01,15917.0
2024-01-01,15927.0
2024-04-01,15365.0
2024-07-01,16055.0
2024-10-01,14750.0
2025-01-01,14139.0
2025-04-01,14611.0
