Tarih,TP_GSYIH09_GY_CF
2000-01-01,359030.650947298
2000-04-01,381077.20137841
2000-07-01,409041.226393791
2000-10-01,438708.812718856
2001-01-01,473527.349223868
2001-04-01,557197.252717049
2001-07-01,626542.934225042
2001-10-01,704508.671976049
2002-01-01,915592.932599508
2002-04-01,943021.785085424
2002-07-01,1019234.47635485
2002-10-01,1104814.2059676
2003-01-01,1296940.62745341
2003-04-01,1298328.296149099
2003-07-01,1348291.93591317
2003-10-01,1402572.55239169
2004-01-01,1780987.53077059
2004-04-01,1771870.88346741
2004-07-01,1841418.63516381
2004-10-01,1932298.62506931
2005-01-01,2031351.70125055
2005-04-01,2187650.22551588
2005-07-01,2345087.58821023
2005-10-01,2488471.88905258
2006-01-01,2561135.55400838
2006-04-01,2744732.74788716
2006-07-01,2881874.04990239
2006-10-01,3109504.67062894
2007-01-01,3266203.31033898
2007-04-01,3314677.75226534
2007-07-01,3491834.34230462
2007-10-01,3785483.319390589
2008-01-01,3852781.447172159
2008-04-01,3913949.329100559
2008-07-01,4105412.39261796
2008-10-01,4321404.141464269
2009-01-01,4333976.96740524
2009-04-01,4435666.68009402
2009-07-01,4667440.41146321
2009-10-01,4811014.180106489
2010-01-01,5139489.02040782
2010-04-01,5329845.54955989
2010-07-01,5660656.81149247
2010-10-01,5809981.31444725
2011-01-01,6237173.24517595
2011-04-01,6567533.82309975
2011-07-01,7011663.144081319
2011-10-01,7313307.271308179
2012-01-01,7622123.51118552
2012-04-01,8107116.62702471
2012-07-01,8698739.28093205
2012-10-01,8979526.58586365
2013-01-01,9284006.74167412
2013-04-01,9834676.3447649
2013-07-01,10460703.611749
2013-10-01,10684127.57906259
2014-01-01,11187558.20842159
2014-04-01,11716034.0907795
2014-07-01,12550736.56586259
2014-10-01,13410742.1172412
2015-01-01,13133160.17291039
2015-04-01,13860004.09687709
2015-07-01,14881039.12154459
2015-10-01,15907536.5516909
2016-01-01,18418682.05464959
2016-04-01,19141919.52267359
2016-07-01,19681495.68295279
2016-10-01,20570814.7880133
2017-01-01,21198599.3712283
2017-04-01,22529498.61428539
2017-07-01,23318835.26445709
2017-10-01,24898339.3009358
2018-01-01,25880962.6261687
2018-04-01,20857198.90079389
2018-07-01,21832495.4917075
2018-10-01,22366938.4519435
2019-01-01,24487384.60787019
2019-04-01,26098062.06881339
2019-07-01,27453329.02196289
2019-10-01,28272941.63685709
2020-01-01,28622894.42532639
2020-04-01,27266513.49296399
2020-07-01,30675812.8055881
2020-10-01,32510762.71074
2021-01-01,35432697.416096
2021-04-01,39276245.91570489
2021-07-01,43517620.77302259
2021-10-01,46149005.39584729
2022-01-01,55212420.21008089
2022-04-01,63249191.603284
2022-07-01,85221965.8518105
2022-10-01,91478603.90120108
2023-01-01,126633984.642333
2023-04-01,139749965.360704
2023-07-01,189236519.5528199
2023-10-01,199532155.245449
2024-01-01,273110669.693804
2024-04-01,303260303.6395099
2024-07-01,332812406.518745
2024-10-01,360783726.511774
2025-01-01,406504853.902154
2025-04-01,453583626.3488469
