Tarih,TP_GSYIH15_GY_CF
2000-01-01,79636.7596948449
2000-04-01,81520.3192406007
2000-07-01,72295.7906189814
2000-10-01,59632.2208796292
2001-01-01,134200.841220548
2001-04-01,71230.4944413628
2001-07-01,105784.458686389
2001-10-01,82730.8896868324
2002-01-01,16480.7790806659
2002-04-01,-89380.2295852719
2002-07-01,-10512.8153144141
2002-10-01,-107628.730493169
2003-01-01,84829.6160648837
2003-04-01,16470.1867816643
2003-07-01,67287.368412692
2003-10-01,-40561.7032812455
2004-01-01,-496476.556439029
2004-04-01,-509941.491636564
2004-07-01,-741626.88879143
2004-10-01,125006.348755614
2005-01-01,-651404.381801473
2005-04-01,-236146.879728477
2005-07-01,79386.5261665927
2005-10-01,-345803.771020349
2006-01-01,-517197.695061309
2006-04-01,454479.800866789
2006-07-01,-1036709.24444697
2006-10-01,140492.040626071
2007-01-01,262933.87209748
2007-04-01,-1703482.40021674
2007-07-01,447740.14543646
2007-10-01,131868.464128736
2008-01-01,-272535.647054302
2008-04-01,-125498.417234803
2008-07-01,-267849.067789458
2008-10-01,-254763.687942844
2009-01-01,-1273081.833654189
2009-04-01,-694750.311563329
2009-07-01,-509227.206841183
2009-10-01,-176275.745162848
2010-01-01,-129347.229346208
2010-04-01,-278341.944356768
2010-07-01,-18914.7423232743
2010-10-01,39878.7994653402
2011-01-01,-85.0368163836
2011-04-01,-49348.5822463737
2011-07-01,-94576.5935190134
2011-10-01,-34723.2284427273
2012-01-01,-173554.043766326
2012-04-01,-287370.142170672
2012-07-01,-425564.836309314
2012-10-01,-500253.708132687
2013-01-01,-948541.046392593
2013-04-01,-750513.108638603
2013-07-01,-547718.089694144
2013-10-01,250128.365260341
2014-01-01,-2802891.82985667
2014-04-01,1509676.943606389
2014-07-01,451873.839840393
2014-10-01,-627449.802529101
2015-01-01,3570667.717453999
2015-04-01,-1782965.9394
2015-07-01,-990196.0749275
2015-10-01,-3378987.1145325
2016-01-01,-766246.583080498
2016-04-01,-3576607.564757499
2016-07-01,-3858036.195088
2016-10-01,-5268048.97146851
2017-01-01,-4288781.034141
2017-04-01,-4594154.004246
2017-07-01,-3672317.064842
2017-10-01,-7290038.428369999
2018-01-01,-5367775.02712474
2018-04-01,-6218792.25297892
2018-07-01,-7271088.35301208
2018-10-01,-8077609.54354705
2019-01-01,-5693298.141968499
2019-04-01,-7293233.652235
2019-07-01,-8082313.5184605
2019-10-01,-7976060.872955
2020-01-01,-10222142.42023899
2020-04-01,-19356699.458009
2020-07-01,-15248305.2095125
2020-10-01,-11471000.11308499
2021-01-01,-19414973.538369
2021-04-01,-24521823.4792605
2021-07-01,-12953328.8363875
2021-10-01,-30865185.2002035
2022-01-01,-18052639.37076999
2022-04-01,-11366756.644894
2022-07-01,-21533268.538492
2022-10-01,-32916443.23113
2023-01-01,-82287469.9054455
2023-04-01,-45013821.57160799
2023-07-01,-47694536.3263795
2023-10-01,-146056984.127077
2024-01-01,-125601291.609686
2024-04-01,-124674211.090375
2024-07-01,-186208465.987343
2024-10-01,-288743838.093279
2025-01-01,-227216672.202192
2025-04-01,-200564208.8100279
