Tarih,TP_GSYIH24_HY_CF
2000-01-01,6775249.137483459
2000-04-01,8400042.47296375
2000-07-01,9437891.02231742
2000-10-01,9628033.02892775
2001-01-01,10468068.94627979
2001-04-01,16721198.3847694
2001-07-01,20541675.6725865
2001-10-01,19913318.76494079
2002-01-01,17082120.19105309
2002-04-01,19840753.55310729
2002-07-01,28060971.1985763
2002-10-01,26705034.69992519
2003-01-01,25169798.2012185
2003-04-01,25301960.23040569
2003-07-01,29934135.59034569
2003-10-01,29390317.15126569
2004-01-01,26845653.12115599
2004-04-01,34036075.1746008
2004-07-01,39566873.8528518
2004-10-01,39026791.3663289
2005-01-01,33738441.5679363
2005-04-01,37030082.8155497
2005-07-01,40689668.77099309
2005-10-01,39604867.07809119
2006-01-01,35732669.6280054
2006-04-01,45008183.79324959
2006-07-01,51032352.2675378
2006-10-01,49509738.092766
2007-01-01,46657028.97228059
2007-04-01,49889608.3350645
2007-07-01,51245712.7939048
2007-10-01,50299571.92227389
2008-01-01,55137270.2188453
2008-04-01,61350213.5353337
2008-07-01,63948129.85929139
2008-10-01,60983934.8569789
2009-01-01,55422871.77438139
2009-04-01,55400031.637688
2009-07-01,66164657.97024209
2009-10-01,63800778.08877559
2010-01-01,53526951.5816394
2010-04-01,64464257.44547569
2010-07-01,67876113.08816428
2010-10-01,68040796.7545319
2011-01-01,67110118.1819438
2011-04-01,76507907.7897587
2011-07-01,95692436.4193618
2011-10-01,92839541.6620095
2012-01-01,83510321.616226
2012-04-01,100330639.1668899
2012-07-01,108315424.5617319
2012-10-01,104812429.671716
2013-01-01,93959333.6618689
2013-04-01,110381121.6510809
2013-07-01,122445118.1028089
2013-10-01,120219666.7763399
2014-01-01,124725102.2374809
2014-04-01,128634311.1341969
2014-07-01,144906475.6446039
2014-10-01,134179818.2383259
2015-01-01,125629779.4046979
2015-04-01,145291839.7869639
2015-07-01,170621455.4750489
2015-10-01,153581542.1494219
2016-01-01,138077128.2398079
2016-04-01,149166095.7219029
2016-07-01,157781679.5753569
2016-10-01,176499177.86353
2017-01-01,185451071.2157889
2017-04-01,197558756.3109189
2017-07-01,222719415.691742
2017-10-01,230670804.565133
2018-01-01,208136664.931959
2018-04-01,258910296.9192549
2018-07-01,384223067.124023
2018-10-01,356444127.096471
2019-01-01,302698702.3636779
2019-04-01,360490702.954598
2019-07-01,410067473.4259709
2019-10-01,380735107.7489399
2020-01-01,336247563.1670579
2020-04-01,254623282.5177629
2020-07-01,393747125.65959
2020-10-01,493109878.902309
2021-01-01,438156421.358666
2021-04-01,554848086.599084
2021-07-01,684968256.127106
2021-10-01,927844194.871028
2022-01-01,1060579702.152539
2022-04-01,1391353559.96038
2022-07-01,1714723820.964179
2022-10-01,1678810521.705329
2023-01-01,1535898667.85819
2023-04-01,1815268306.15557
2023-07-01,2641945199.481589
2023-10-01,2652748915.06042
2024-01-01,2598358394.26733
2024-04-01,2880253877.93765
2024-07-01,3456244892.473299
2024-10-01,3357048667.590909
2025-01-01,3164210792.299049
2025-04-01,3701911004.41433
