Tarih,TP_GSYIH05_IFK_CF
2000-01-01,8693159.50218811
2000-04-01,10057373.1894872
2000-07-01,10794380.590692
2000-10-01,10751131.96459659
2001-01-01,12332300.24557109
2001-04-01,14050297.49728789
2001-07-01,15610458.24014629
2001-10-01,16405178.5082996
2002-01-01,19096304.47412659
2002-04-01,21519883.020803
2002-07-01,24058412.4965034
2002-10-01,23938859.0735981
2003-01-01,26308479.2368275
2003-04-01,28123926.5053908
2003-07-01,29649791.94483929
2003-10-01,30434584.4349264
2004-01-01,31622329.1178747
2004-04-01,35525733.0547659
2004-07-01,36953490.00501179
2004-10-01,38632265.01973719
2005-01-01,37257636.40225239
2005-04-01,39778492.3209388
2005-07-01,41553535.1500926
2005-10-01,44850109.83572959
2006-01-01,41449611.8803192
2006-04-01,49183427.3426252
2006-07-01,49731599.6971765
2006-10-01,51945380.82726269
2007-01-01,48467099.22799409
2007-04-01,51216179.2849074
2007-07-01,53531590.35117349
2007-10-01,58385252.2947577
2008-01-01,55216641.3560063
2008-04-01,62154772.9932539
2008-07-01,61643660.64567639
2008-10-01,59755501.947428
2009-01-01,48199866.77724199
2009-04-01,52876430.8025524
2009-07-01,57062902.5522707
2009-10-01,60519956.2705103
2010-01-01,52124942.4357604
2010-04-01,61459315.38481
2010-07-01,65914520.3899751
2010-10-01,69329108.60211688
2011-01-01,64340496.4799517
2011-04-01,74354903.5411366
2011-07-01,79643849.7786219
2011-10-01,85947137.0680767
2012-01-01,73591875.1649529
2012-04-01,86604094.95916618
2012-07-01,91967858.08532178
2012-10-01,97348593.2821861
2013-01-01,84306434.2851828
2013-04-01,97723561.68978798
2013-07-01,105814716.9709679
2013-10-01,111214476.0711189
2014-01-01,99538980.52845898
2014-04-01,111367859.0746529
2014-07-01,120400639.870782
2014-10-01,126927232.559642
2015-01-01,111931875.82377
2015-04-01,128253949.318532
2015-07-01,134602088.256677
2015-10-01,145385088.0235289
2016-01-01,125515606.613278
2016-04-01,137304213.34014
2016-07-01,136972827.780871
2016-10-01,167466216.1887719
2017-01-01,144955764.38391
2017-04-01,162749701.8857559
2017-07-01,183783461.1234869
2017-10-01,205346829.7162759
2018-01-01,182613232.474335
2018-04-01,205851041.994066
2018-07-01,243920851.711183
2018-10-01,249615604.791379
2019-01-01,216161719.4726229
2019-04-01,245068108.883217
2019-07-01,274113336.5840619
2019-10-01,296873126.420782
2020-01-01,244158642.2538259
2020-04-01,203726267.7980799
2020-07-01,307864901.551737
2020-10-01,355190742.544318
2021-01-01,313126244.6322079
2021-04-01,368315511.1141089
2021-07-01,469034881.723106
2021-10-01,590411868.5145189
2022-01-01,624809746.493543
2022-04-01,894916752.602552
2022-07-01,1108198138.0964
2022-10-01,1305495692.331439
2023-01-01,1234430383.96706
2023-04-01,1484429697.586139
2023-07-01,1981229027.87873
2023-10-01,2291625185.214839
2024-01-01,2219080728.900819
2024-04-01,2557941525.78876
2024-07-01,2990195231.68296
2024-10-01,3328574794.66582
2025-01-01,2937490983.84802
2025-04-01,3680700326.41716
