Tarih,TP_GSYIH01_IFK_ZH
2000-01-01,7152895.083913739
2000-04-01,12472765.83364439
2000-07-01,33155795.0874645
2000-10-01,18684283.35154879
2001-01-01,6794564.47885422
2001-04-01,11979870.733152
2001-07-01,30308461.3551835
2001-10-01,16013337.2870809
2002-01-01,6576096.8350147
2002-04-01,12242645.55856589
2002-07-01,32858596.434431
2002-10-01,19054624.5751825
2003-01-01,7318247.376848939
2003-04-01,12416777.4924931
2003-07-01,32021365.39706839
2003-10-01,17864882.10598329
2004-01-01,7478632.56638858
2004-04-01,12115101.9341781
2004-07-01,32731336.84962699
2004-10-01,20085028.1073823
2005-01-01,8192782.516953459
2005-04-01,13715331.6467648
2005-07-01,35749354.26124209
2005-10-01,20577085.89692059
2006-01-01,8074403.14096204
2006-04-01,14083504.9297642
2006-07-01,35632250.77485129
2006-10-01,21694253.13618269
2007-01-01,7565484.067449579
2007-04-01,13181409.57601059
2007-07-01,33070533.81925529
2007-10-01,20736711.1385831
2008-01-01,7950484.310911609
2008-04-01,13272274.59349909
2008-07-01,35351895.8281679
2008-10-01,21360871.8051279
2009-01-01,7521705.659056589
2009-04-01,13864186.62379219
2009-07-01,38324559.5197928
2009-10-01,21568272.1322763
2010-01-01,8438158.26019278
2010-04-01,14333643.47389649
2010-07-01,41570659.5252548
2010-10-01,23166372.92796359
2011-01-01,9024204.22949209
2011-04-01,14798223.93106189
2011-07-01,41737191.87797609
2011-10-01,24970115.04948949
2012-01-01,9154109.84993201
2012-04-01,14580142.51430089
2012-07-01,44032635.0859538
2012-10-01,24752614.0795006
2013-01-01,8772683.63531867
2013-04-01,16253701.00955669
2013-07-01,46815160.5806585
2013-10-01,22865851.2096139
2014-01-01,9003778.93958606
2014-04-01,15243147.74075729
2014-07-01,46883363.68561709
2014-10-01,24106991.4150591
2015-01-01,9687499.02838666
2015-04-01,16922243.8985962
2015-07-01,54304543.3022757
2015-10-01,23319556.73735089
2016-01-01,9469445.49012142
2016-04-01,16345777.14994519
2016-07-01,53132447.45355
2016-10-01,23832052.41013839
2017-01-01,10066955.4313488
2017-04-01,17643317.70121579
2017-07-01,55651759.9736675
2017-10-01,25330936.7056184
2018-01-01,11011100.3207965
2018-04-01,17918093.6923771
2018-07-01,57384414.86178439
2018-10-01,25746555.1485374
2019-01-01,11645407.47368649
2019-04-01,19135988.07324219
2019-07-01,59353195.21384669
2019-10-01,26181308.3091898
2020-01-01,12292843.9556597
2020-04-01,20314330.3084301
2020-07-01,62940435.92951849
2020-10-01,26989760.7186045
2021-01-01,12300178.4173523
2021-04-01,19921804.81830849
2021-07-01,59542644.58816719
2021-10-01,27678646.11642099
2022-01-01,12311325.50363229
2022-04-01,19693464.72592759
2022-07-01,61806375.5597876
2022-10-01,27076693.3694791
2023-01-01,11461824.13691299
2023-04-01,19545242.24234199
2023-07-01,63200319.4443439
2023-10-01,27116853.57762759
2024-01-01,12416543.4463374
2024-04-01,20567283.86663839
2024-07-01,65311166.98708059
2024-10-01,29264524.0941324
2025-01-01,12155201.65289049
2025-04-01,19849186.78824669
