Tarih,TP_DOVVARNC_K9
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-3620.0
2000-09-01,-4286.0
2000-10-01,-4268.0
2000-11-01,-6037.0
2000-12-01,-6610.0
2001-01-01,-5778.0
2001-02-01,-6370.0
2001-03-01,-5784.0
2001-04-01,-5789.0
2001-05-01,-6594.0
2001-06-01,-6381.0
2001-07-01,-6990.0
2001-08-01,-6192.0
2001-09-01,-7512.0
2001-10-01,-8229.0
2001-11-01,-7941.0
2001-12-01,-14093.0
2002-01-01,-14511.0
2002-02-01,-12693.0
2002-03-01,-11348.0
2002-04-01,-10986.0
2002-05-01,-10703.0
2002-06-01,-12258.0
2002-07-01,-13490.0
2002-08-01,-15200.0
2002-09-01,-17675.0
2002-10-01,-19703.0
2002-11-01,-20126.0
2002-12-01,-20579.0
2003-01-01,-23345.0
2003-02-01,-25565.0
2003-03-01,-24089.0
2003-04-01,-22460.0
2003-05-01,-24440.0
2003-06-01,-21321.0
2003-07-01,-18566.0
2003-08-01,-16678.0
2003-09-01,-18276.0
2003-10-01,-17811.0
2003-11-01,-16751.0
2003-12-01,-18390.0
2004-01-01,-18527.0
2004-02-01,-21388.0
2004-03-01,-20986.0
2004-04-01,-20622.0
2004-05-01,-21527.0
2004-06-01,-23047.0
2004-07-01,-23793.0
2004-08-01,-25251.0
2004-09-01,-27998.0
2004-10-01,-29914.0
2004-11-01,-28646.0
2004-12-01,-29849.0
2005-01-01,-29851.0
2005-02-01,-32935.0
2005-03-01,-28603.0
2005-04-01,-27603.0
2005-05-01,-22946.0
2005-06-01,-17882.0
2005-07-01,-16552.0
2005-08-01,-18230.0
2005-09-01,-17187.0
2005-10-01,-17327.0
2005-11-01,-18735.0
2005-12-01,-18997.0
2006-01-01,-17730.0
2006-02-01,-17720.0
2006-03-01,-20143.0
2006-04-01,-22945.0
2006-05-01,-21516.0
2006-06-01,-20983.0
2006-07-01,-20553.0
2006-08-01,-18678.0
2006-09-01,-19227.0
2006-10-01,-21930.0
2006-11-01,-23231.0
2006-12-01,-21100.0
2007-01-01,-19124.0
2007-02-01,-19268.0
2007-03-01,-20513.0
2007-04-01,-19991.0
2007-05-01,-23132.0
2007-06-01,-22537.0
2007-07-01,-20856.0
2007-08-01,-19482.0
2007-09-01,-19962.0
2007-10-01,-19140.0
2007-11-01,-17940.0
2007-12-01,-17750.0
2008-01-01,-17823.0
2008-02-01,-13423.0
2008-03-01,-13558.0
2008-04-01,-13981.0
2008-05-01,-12765.0
2008-06-01,-13641.0
2008-07-01,-13264.0
2008-08-01,-14038.0
2008-09-01,-14157.0
2008-10-01,-13505.0
2008-11-01,-14433.0
2008-12-01,-15247.0
2009-01-01,-15608.0
2009-02-01,-16873.0
2009-03-01,-14149.0
2009-04-01,-13689.0
2009-05-01,-13368.0
2009-06-01,-13942.0
2009-07-01,-13899.0
2009-08-01,-14015.0
2009-09-01,-17627.0
2009-10-01,-16327.0
2009-11-01,-15961.0
2009-12-01,-16045.0
2010-01-01,-16790.0
2010-02-01,-16700.0
2010-03-01,-14639.0
2010-04-01,-14366.0
2010-05-01,-13813.0
2010-06-01,-11348.0
2010-07-01,-9266.0
2010-08-01,-10063.0
2010-09-01,-10941.0
2010-10-01,-10186.0
2010-11-01,-10762.0
2010-12-01,-10997.0
2011-01-01,-13704.0
2011-02-01,-13455.0
2011-03-01,-12575.0
2011-04-01,-12036.0
2011-05-01,-10924.0
2011-06-01,-10542.0
2011-07-01,-12081.0
2011-08-01,-12147.0
