Tarih,TP_DOVVARSB_K5
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-1522.0
2000-09-01,-1553.0
2000-10-01,-1569.0
2000-11-01,-1547.0
2000-12-01,-1666.0
2001-01-01,-1531.0
2001-02-01,-1487.0
2001-03-01,-1372.0
2001-04-01,-1434.0
2001-05-01,-1561.0
2001-06-01,-1589.0
2001-07-01,-1564.0
2001-08-01,-1500.0
2001-09-01,-1427.0
2001-10-01,-1460.0
2001-11-01,-1399.0
2001-12-01,-1491.0
2002-01-01,-1488.0
2002-02-01,-1494.0
2002-03-01,-1307.0
2002-04-01,-1324.0
2002-05-01,-1356.0
2002-06-01,-1378.0
2002-07-01,-1383.0
2002-08-01,-1385.0
2002-09-01,-1213.0
2002-10-01,-1206.0
2002-11-01,-1223.0
2002-12-01,-1391.0
2003-01-01,-1380.0
2003-02-01,-1364.0
2003-03-01,-1196.0
2003-04-01,-1213.0
2003-05-01,-1250.0
2003-06-01,-1395.0
2003-07-01,-1360.0
2003-08-01,-1344.0
2003-09-01,-1208.0
2003-10-01,-1257.0
2003-11-01,-1268.0
2003-12-01,-1468.0
2004-01-01,-1376.0
2004-02-01,-1320.0
2004-03-01,-1123.0
2004-04-01,-1110.0
2004-05-01,-1096.0
2004-06-01,-1159.0
2004-07-01,-1084.0
2004-08-01,-1047.0
2004-09-01,-847.0
2004-10-01,-889.0
2004-11-01,-873.0
2004-12-01,-887.0
2005-01-01,-772.0
2005-02-01,-751.0
2005-03-01,-1223.0
2005-04-01,-1316.0
2005-05-01,-1418.0
2005-06-01,-1447.0
2005-07-01,-1329.0
2005-08-01,-1225.0
2005-09-01,-1024.0
2005-10-01,-1102.0
2005-11-01,-1164.0
2005-12-01,-1235.0
2006-01-01,-1080.0
2006-02-01,-952.0
2006-03-01,-915.0
2006-04-01,-999.0
2006-05-01,-1171.0
2006-06-01,-1160.0
2006-07-01,-1038.0
2006-08-01,-889.0
2006-09-01,-880.0
2006-10-01,-947.0
2006-11-01,-1105.0
2006-12-01,-1099.0
2007-01-01,-1002.0
2007-02-01,-901.0
2007-03-01,-874.0
2007-04-01,-969.0
2007-05-01,-1097.0
2007-06-01,-1071.0
2007-07-01,-991.0
2007-08-01,-848.0
2007-09-01,-887.0
2007-10-01,-988.0
2007-11-01,-1260.0
2007-12-01,-1231.0
2008-01-01,-1079.0
2008-02-01,-933.0
2008-03-01,-989.0
2008-04-01,-1079.0
2008-05-01,-1126.0
2008-06-01,-1077.0
2008-07-01,-916.0
2008-08-01,-775.0
2008-09-01,-839.0
2008-10-01,-883.0
2008-11-01,-930.0
2008-12-01,-928.0
2009-01-01,-813.0
2009-02-01,-682.0
2009-03-01,-768.0
2009-04-01,-829.0
2009-05-01,-949.0
2009-06-01,-858.0
2009-07-01,-802.0
2009-08-01,-695.0
2009-09-01,-776.0
2009-10-01,-868.0
2009-11-01,-960.0
2009-12-01,-862.0
2010-01-01,-795.0
2010-02-01,-682.0
2010-03-01,-736.0
2010-04-01,-777.0
2010-05-01,-850.0
2010-06-01,-768.0
2010-07-01,-736.0
2010-08-01,-624.0
2010-09-01,-709.0
2010-10-01,-779.0
2010-11-01,-849.0
2010-12-01,-784.0
2011-01-01,-744.0
2011-02-01,-652.0
2011-03-01,-755.0
2011-04-01,-787.0
2011-05-01,-853.0
2011-06-01,-771.0
2011-07-01,-718.0
2011-08-01,-630.0
2011-09-01,-707.0
2011-10-01,-734.0
2011-11-01,-787.0
2011-12-01,-684.0
2012-01-01,-684.0
