Tarih,TP_EKKALEM_K14
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,134.0
2006-11-01,102.0
2006-12-01,102.0
2007-01-01,97.0
2007-02-01,96.0
2007-03-01,97.0
2007-04-01,85.0
2007-05-01,85.0
2007-06-01,90.0
2007-07-01,99.0
2007-08-01,831.0
2007-09-01,116.0
2007-10-01,56.0
2007-11-01,110.0
2007-12-01,107.0
2008-01-01,113.0
2008-02-01,118.0
2008-03-01,31.0
2008-04-01,119.0
2008-05-01,119.0
2008-06-01,136.0
2008-07-01,154.0
2008-08-01,29.0
2008-09-01,155.0
2008-10-01,130.0
2008-11-01,67.0
2008-12-01,127.0
2009-01-01,112.0
2009-02-01,109.0
2009-03-01,108.0
2009-04-01,55.0
2009-05-01,68.0
2009-06-01,101.0
2009-07-01,820.0
2009-08-01,129.0
2009-09-01,144.0
2009-10-01,120.0
2009-11-01,106.0
2009-12-01,112.0
2010-01-01,108.0
2010-02-01,106.0
2010-03-01,103.0
2010-04-01,90.0
2010-05-01,88.0
2010-06-01,99.0
2010-07-01,119.0
2010-08-01,126.0
2010-09-01,136.0
2010-10-01,147.0
2010-11-01,137.0
2010-12-01,149.0
2011-01-01,144.0
2011-02-01,145.0
2011-03-01,137.0
2011-04-01,133.0
2011-05-01,148.0
2011-06-01,159.0
2011-07-01,187.0
2011-08-01,207.0
2011-09-01,192.0
2011-10-01,178.0
2011-11-01,167.0
2011-12-01,169.0
2012-01-01,169.0
2012-02-01,169.0
2012-03-01,158.0
2012-04-01,150.0
2012-05-01,138.0
2012-06-01,147.0
2012-07-01,154.0
2012-08-01,162.0
2012-09-01,166.0
2012-10-01,168.0
2012-11-01,153.0
2012-12-01,155.0
2013-01-01,300.0
2013-02-01,1364.0
2013-03-01,1738.0
2013-04-01,1739.0
2013-05-01,1703.0
2013-06-01,1711.0
2013-07-01,1743.0
2013-08-01,1749.0
