Tarih,TP_UYPUCAY_K6
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,0.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,546.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,804.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1948.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,920.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,718.0
2006-01-01,970.0
2006-04-01,819.0
2006-07-01,1196.0
2006-10-01,3111.0
2007-01-01,857.0
2007-04-01,1369.0
2007-07-01,1966.0
2007-10-01,2007.0
2008-01-01,2009.0
2008-04-01,2047.0
2008-07-01,2012.0
2008-10-01,1938.0
2009-01-01,2108.0
2009-04-01,1659.0
2009-07-01,1669.0
2009-10-01,1907.0
2010-01-01,1709.0
2010-04-01,1835.0
2010-07-01,2124.0
2010-10-01,2230.0
2011-01-01,2228.0
2011-04-01,1961.0
2011-07-01,2143.0
2011-10-01,1750.0
2012-01-01,1365.0
2012-04-01,1194.0
2012-07-01,970.0
2012-10-01,1320.0
2013-01-01,894.0
2013-04-01,903.0
2013-07-01,845.0
2013-10-01,1003.0
2014-01-01,1360.0
2014-04-01,1352.0
2014-07-01,1411.0
2014-10-01,1505.0
2015-01-01,1466.0
2015-04-01,1454.0
2015-07-01,1363.0
2015-10-01,1574.0
2016-01-01,1380.0
2016-04-01,1426.0
2016-07-01,1503.0
2016-10-01,1284.0
2017-01-01,1385.0
2017-04-01,1343.0
2017-07-01,1136.0
2017-10-01,1153.0
2018-01-01,1072.0
2018-04-01,1622.0
2018-07-01,1147.0
2018-10-01,1142.0
2019-01-01,1592.0
2019-04-01,1563.0
2019-07-01,1422.0
2019-10-01,1594.0
2020-01-01,1514.0
2020-04-01,1371.0
2020-07-01,1674.0
2020-10-01,1893.0
2021-01-01,2383.0
2021-04-01,2685.0
2021-07-01,2314.0
2021-10-01,2313.0
2022-01-01,2279.0
2022-04-01,2493.0
2022-07-01,2729.0
2022-10-01,2760.0
2023-01-01,3506.0
2023-04-01,3318.0
2023-07-01,2560.0
2023-10-01,3450.0
2024-01-01,4251.0
2024-04-01,4386.0
2024-07-01,4544.0
2024-10-01,3965.0
2025-01-01,4241.0
2025-04-01,4348.0
