Tarih,TP_UYPUCAY_K52
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,27509.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,18149.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,19912.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,20720.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,29260.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,39219.0
2006-01-01,42849.0
2006-04-01,36723.0
2006-07-01,41534.0
2006-10-01,50594.0
2007-01-01,54226.0
2007-04-01,57213.0
2007-07-01,58269.0
2007-10-01,56428.0
2008-01-01,53113.0
2008-04-01,54976.0
2008-07-01,54100.0
2008-10-01,45606.0
2009-01-01,39929.0
2009-04-01,43515.0
2009-07-01,45307.0
2009-10-01,43938.0
2010-01-01,45550.0
2010-04-01,48864.0
2010-07-01,55354.0
2010-10-01,55527.0
2011-01-01,65731.0
2011-04-01,68308.0
2011-07-01,62107.0
2011-10-01,69650.0
2012-01-01,77210.0
2012-04-01,81496.0
2012-07-01,95236.0
2012-10-01,105739.0
2013-01-01,105092.0
2013-04-01,101614.0
2013-07-01,96648.0
2013-10-01,92798.0
2014-01-01,88226.0
2014-04-01,101006.0
2014-07-01,94396.0
2014-10-01,99249.0
2015-01-01,90669.0
2015-04-01,83633.0
2015-07-01,72524.0
2015-10-01,71507.0
2016-01-01,75324.0
2016-04-01,80169.0
2016-07-01,79330.0
2016-10-01,66494.0
2017-01-01,69285.0
2017-04-01,79406.0
2017-07-01,82450.0
2017-10-01,79179.0
2018-01-01,76168.0
2018-04-01,65801.0
2018-07-01,55953.0
2018-10-01,63344.0
2019-01-01,61955.0
2019-04-01,61892.0
2019-07-01,65224.0
2019-10-01,65348.0
2020-01-01,54185.0
2020-04-01,50834.0
2020-07-01,46881.0
2020-10-01,56285.0
2021-01-01,50698.0
2021-04-01,53223.0
2021-07-01,53690.0
2021-10-01,43967.0
2022-01-01,39558.0
2022-04-01,31537.0
2022-07-01,29520.0
2022-10-01,35487.0
2023-01-01,38543.0
2023-04-01,36817.0
2023-07-01,38345.0
2023-10-01,45210.0
2024-01-01,44807.0
2024-04-01,54335.0
2024-07-01,59405.0
2024-10-01,60397.0
2025-01-01,58408.0
2025-04-01,53877.0
