Tarih,TP_UYPUCAY_K79
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,28416.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,27923.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,28668.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,29070.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,32181.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,38236.0
2006-01-01,47819.0
2006-04-01,51271.0
2006-07-01,54761.0
2006-10-01,59370.0
2007-01-01,66467.0
2007-04-01,72459.0
2007-07-01,79543.0
2007-10-01,88728.0
2008-01-01,96845.0
2008-04-01,105919.0
2008-07-01,107726.0
2008-10-01,105815.0
2009-01-01,100737.0
2009-04-01,100836.0
2009-07-01,97586.0
2009-10-01,94032.0
2010-01-01,88992.0
2010-04-01,83242.0
2010-07-01,85873.0
2010-10-01,83524.0
2011-01-01,87304.0
2011-04-01,88515.0
2011-07-01,86568.0
2011-10-01,84422.0
2012-01-01,86428.0
2012-04-01,84741.0
2012-07-01,85751.0
2012-10-01,88136.0
2013-01-01,86860.0
2013-04-01,85287.0
2013-07-01,86025.0
2013-10-01,86732.0
2014-01-01,87976.0
2014-04-01,88375.0
2014-07-01,83849.0
2014-10-01,83425.0
2015-01-01,79125.0
2015-04-01,81930.0
2015-07-01,83953.0
2015-10-01,85960.0
2016-01-01,90161.0
2016-04-01,92622.0
2016-07-01,93828.0
2016-10-01,90305.0
2017-01-01,90251.0
2017-04-01,92859.0
2017-07-01,94404.0
2017-10-01,95977.0
2018-01-01,99479.0
2018-04-01,97925.0
2018-07-01,98181.0
2018-10-01,97493.0
2019-01-01,96994.0
2019-04-01,95454.0
2019-07-01,94403.0
2019-10-01,92082.0
2020-01-01,90366.0
2020-04-01,89260.0
2020-07-01,88331.0
2020-10-01,90060.0
2021-01-01,88827.0
2021-04-01,89935.0
2021-07-01,90095.0
2021-10-01,89407.0
2022-01-01,89393.0
2022-04-01,86751.0
2022-07-01,88655.0
2022-10-01,92789.0
2023-01-01,93441.0
2023-04-01,91131.0
2023-07-01,90198.0
2023-10-01,91814.0
2024-01-01,90243.0
2024-04-01,89981.0
2024-07-01,93087.0
2024-10-01,89852.0
2025-01-01,94312.0
2025-04-01,101048.0
