Tarih,TP_UYPUCAY_K29
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,5498.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,6320.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,7858.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,10178.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,13752.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,15131.0
2006-01-01,14101.0
2006-04-01,16157.0
2006-07-01,16286.0
2006-10-01,18295.0
2007-01-01,17571.0
2007-04-01,20043.0
2007-07-01,20250.0
2007-10-01,23452.0
2008-01-01,25121.0
2008-04-01,26996.0
2008-07-01,27619.0
2008-10-01,20347.0
2009-01-01,19194.0
2009-04-01,19999.0
2009-07-01,21109.0
2009-10-01,22778.0
2010-01-01,19970.0
2010-04-01,22809.0
2010-07-01,21207.0
2010-10-01,24683.0
2011-01-01,23612.0
2011-04-01,25484.0
2011-07-01,25242.0
2011-10-01,26773.0
2012-01-01,25585.0
2012-04-01,28732.0
2012-07-01,28040.0
2012-10-01,28458.0
2013-01-01,28579.0
2013-04-01,30083.0
2013-07-01,30206.0
2013-10-01,31789.0
2014-01-01,30162.0
2014-04-01,32467.0
2014-07-01,30868.0
2014-10-01,32554.0
2015-01-01,25489.0
2015-04-01,26931.0
2015-07-01,25743.0
2015-10-01,29384.0
2016-01-01,26286.0
2016-04-01,28055.0
2016-07-01,24775.0
2016-10-01,30354.0
2017-01-01,29069.0
2017-04-01,32417.0
2017-07-01,29200.0
2017-10-01,32352.0
2018-01-01,31213.0
2018-04-01,31907.0
2018-07-01,30539.0
2018-10-01,35372.0
2019-01-01,33160.0
2019-04-01,32436.0
2019-07-01,33589.0
2019-10-01,35552.0
2020-01-01,31466.0
2020-04-01,24257.0
2020-07-01,32622.0
2020-10-01,37756.0
2021-01-01,35490.0
2021-04-01,39773.0
2021-07-01,43626.0
2021-10-01,40595.0
2022-01-01,41598.0
2022-04-01,44921.0
2022-07-01,43060.0
2022-10-01,49044.0
2023-01-01,48390.0
2023-04-01,46626.0
2023-07-01,48466.0
2023-10-01,51447.0
2024-01-01,51665.0
2024-04-01,52913.0
2024-07-01,55395.0
2024-10-01,53799.0
2025-01-01,52864.0
2025-04-01,55973.0
