Tarih,TP_PYAMEVD_KB2
2000-01-01,0.0
2000-04-01,0.0
2000-07-01,0.0
2000-10-01,2414.0
2001-01-01,0.0
2001-04-01,0.0
2001-07-01,0.0
2001-10-01,2219.0
2002-01-01,0.0
2002-04-01,0.0
2002-07-01,0.0
2002-10-01,2453.0
2003-01-01,0.0
2003-04-01,0.0
2003-07-01,0.0
2003-10-01,3038.0
2004-01-01,0.0
2004-04-01,0.0
2004-07-01,0.0
2004-10-01,3340.0
2005-01-01,0.0
2005-04-01,0.0
2005-07-01,0.0
2005-10-01,2967.0
2006-01-01,0.0
2006-04-01,0.0
2006-07-01,0.0
2006-10-01,2811.0
2007-01-01,0.0
2007-04-01,0.0
2007-07-01,0.0
2007-10-01,3288.0
2008-01-01,0.0
2008-04-01,0.0
2008-07-01,0.0
2008-10-01,4600.0
2009-01-01,0.0
2009-04-01,0.0
2009-07-01,0.0
2009-10-01,5539.0
2010-01-01,0.0
2010-04-01,0.0
2010-07-01,0.0
2010-10-01,4828.0
2011-01-01,5320.0
2011-04-01,6148.0
2011-07-01,7761.0
2011-10-01,8781.0
2012-01-01,10164.0
2012-04-01,10526.0
2012-07-01,10514.0
2012-10-01,11052.0
2013-01-01,11253.0
2013-04-01,12089.0
2013-07-01,13498.0
2013-10-01,14499.0
2014-01-01,14588.0
2014-04-01,15362.0
2014-07-01,16178.0
2014-10-01,16702.0
2015-01-01,15982.0
2015-04-01,17151.0
2015-07-01,18419.0
2015-10-01,18319.0
2016-01-01,19055.0
2016-04-01,19401.0
2016-07-01,18752.0
2016-10-01,16671.0
2017-01-01,16773.0
2017-04-01,18011.0
2017-07-01,19003.0
2017-10-01,19583.0
2018-01-01,21029.0
2018-04-01,19314.0
2018-07-01,19118.0
2018-10-01,18994.0
2019-01-01,19402.0
2019-04-01,20059.0
2019-07-01,20625.0
2019-10-01,21083.0
2020-01-01,21076.0
2020-04-01,20693.0
2020-07-01,21438.0
2020-10-01,20109.0
2021-01-01,19671.0
2021-04-01,20104.0
2021-07-01,20034.0
2021-10-01,19217.0
2022-01-01,19359.0
2022-04-01,19947.0
2022-07-01,21672.0
2022-10-01,24803.0
2023-01-01,24968.0
2023-04-01,23573.0
2023-07-01,22371.0
2023-10-01,22503.0
2024-01-01,22090.0
2024-04-01,21076.0
2024-07-01,22087.0
2024-10-01,20964.0
2025-01-01,21432.0
2025-04-01,22963.0
