Tarih,TP_PYAMEVD_KB3
2000-01-01,0.0
2000-04-01,0.0
2000-07-01,0.0
2000-10-01,0.0
2001-01-01,0.0
2001-04-01,0.0
2001-07-01,0.0
2001-10-01,0.0
2002-01-01,0.0
2002-04-01,0.0
2002-07-01,0.0
2002-10-01,0.0
2003-01-01,0.0
2003-04-01,0.0
2003-07-01,0.0
2003-10-01,0.0
2004-01-01,0.0
2004-04-01,0.0
2004-07-01,0.0
2004-10-01,779.0
2005-01-01,0.0
2005-04-01,0.0
2005-07-01,0.0
2005-10-01,1580.0
2006-01-01,0.0
2006-04-01,0.0
2006-07-01,0.0
2006-10-01,5391.0
2007-01-01,0.0
2007-04-01,0.0
2007-07-01,0.0
2007-10-01,3812.0
2008-01-01,0.0
2008-04-01,0.0
2008-07-01,0.0
2008-10-01,7945.0
2009-01-01,0.0
2009-04-01,0.0
2009-07-01,0.0
2009-10-01,8762.0
2010-01-01,0.0
2010-04-01,0.0
2010-07-01,0.0
2010-10-01,17577.0
2011-01-01,12619.0
2011-04-01,10738.0
2011-07-01,9531.0
2011-10-01,8392.0
2012-01-01,9188.0
2012-04-01,10637.0
2012-07-01,11571.0
2012-10-01,11648.0
2013-01-01,12442.0
2013-04-01,13092.0
2013-07-01,9958.0
2013-10-01,11055.0
2014-01-01,10105.0
2014-04-01,12458.0
2014-07-01,12878.0
2014-10-01,13405.0
2015-01-01,12676.0
2015-04-01,13666.0
2015-07-01,14301.0
2015-10-01,9611.0
2016-01-01,14104.0
2016-04-01,13969.0
2016-07-01,14468.0
2016-10-01,12165.0
2017-01-01,14206.0
2017-04-01,14729.0
2017-07-01,13319.0
2017-10-01,13127.0
2018-01-01,14452.0
2018-04-01,13405.0
2018-07-01,10918.0
2018-10-01,14045.0
2019-01-01,15044.0
2019-04-01,13692.0
2019-07-01,13544.0
2019-10-01,13636.0
2020-01-01,14644.0
2020-04-01,15726.0
2020-07-01,14816.0
2020-10-01,15720.0
2021-01-01,15393.0
2021-04-01,14747.0
2021-07-01,14509.0
2021-10-01,9698.0
2022-01-01,12155.0
2022-04-01,11661.0
2022-07-01,12242.0
2022-10-01,14128.0
2023-01-01,17703.0
2023-04-01,14875.0
2023-07-01,15872.0
2023-10-01,17031.0
2024-01-01,18776.0
2024-04-01,22229.0
2024-07-01,21771.0
2024-10-01,22513.0
2025-01-01,23044.0
2025-04-01,23726.0
