Tarih,TP_PYAMEVD_KB1
2000-01-01,0.0
2000-04-01,0.0
2000-07-01,0.0
2000-10-01,3346.0
2001-01-01,0.0
2001-04-01,0.0
2001-07-01,0.0
2001-10-01,1773.0
2002-01-01,0.0
2002-04-01,0.0
2002-07-01,0.0
2002-10-01,696.0
2003-01-01,0.0
2003-04-01,0.0
2003-07-01,0.0
2003-10-01,1334.0
2004-01-01,0.0
2004-04-01,0.0
2004-07-01,0.0
2004-10-01,1694.0
2005-01-01,0.0
2005-04-01,0.0
2005-07-01,0.0
2005-10-01,2581.0
2006-01-01,0.0
2006-04-01,0.0
2006-07-01,0.0
2006-10-01,4354.0
2007-01-01,0.0
2007-04-01,0.0
2007-07-01,0.0
2007-10-01,3724.0
2008-01-01,0.0
2008-04-01,0.0
2008-07-01,0.0
2008-10-01,4793.0
2009-01-01,0.0
2009-04-01,0.0
2009-07-01,0.0
2009-10-01,4577.0
2010-01-01,0.0
2010-04-01,0.0
2010-07-01,0.0
2010-10-01,10363.0
2011-01-01,9529.0
2011-04-01,12539.0
2011-07-01,14507.0
2011-10-01,12681.0
2012-01-01,15947.0
2012-04-01,16633.0
2012-07-01,17286.0
2012-10-01,18588.0
2013-01-01,21621.0
2013-04-01,25699.0
2013-07-01,27142.0
2013-10-01,25390.0
2014-01-01,23992.0
2014-04-01,22933.0
2014-07-01,21999.0
2014-10-01,20068.0
2015-01-01,24493.0
2015-04-01,25329.0
2015-07-01,24102.0
2015-10-01,17391.0
2016-01-01,18781.0
2016-04-01,17176.0
2016-07-01,16679.0
2016-10-01,17192.0
2017-01-01,18197.0
2017-04-01,18789.0
2017-07-01,18474.0
2017-10-01,16952.0
2018-01-01,17314.0
2018-04-01,17280.0
2018-07-01,16816.0
2018-10-01,13015.0
2019-01-01,13191.0
2019-04-01,13146.0
2019-07-01,13212.0
2019-10-01,13357.0
2020-01-01,11928.0
2020-04-01,10782.0
2020-07-01,10230.0
2020-10-01,12133.0
2021-01-01,13216.0
2021-04-01,12839.0
2021-07-01,13529.0
2021-10-01,13943.0
2022-01-01,14866.0
2022-04-01,16210.0
2022-07-01,15718.0
2022-10-01,16811.0
2023-01-01,16880.0
2023-04-01,18328.0
2023-07-01,18053.0
2023-10-01,20705.0
2024-01-01,20788.0
2024-04-01,19693.0
2024-07-01,19791.0
2024-10-01,18682.0
2025-01-01,18565.0
2025-04-01,19053.0
