Tarih,TP_PYASCOG_K3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,224.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,135.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,670.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,366.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,157.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,937.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,214.0
2008-01-01,204.0
2008-04-01,220.0
2008-07-01,186.0
2008-10-01,238.0
2009-01-01,239.0
2009-04-01,129.0
2009-07-01,183.0
2009-10-01,314.0
2010-01-01,160.0
2010-04-01,150.0
2010-07-01,156.0
2010-10-01,186.0
2011-01-01,119.0
2011-04-01,211.0
2011-07-01,132.0
2011-10-01,195.0
2012-01-01,441.0
2012-04-01,184.0
2012-07-01,123.0
2012-10-01,345.0
2013-01-01,281.0
2013-04-01,248.0
2013-07-01,258.0
2013-10-01,345.0
2014-01-01,344.0
2014-04-01,396.0
2014-07-01,409.0
2014-10-01,460.0
2015-01-01,474.0
2015-04-01,434.0
2015-07-01,433.0
2015-10-01,432.0
2016-01-01,434.0
2016-04-01,448.0
2016-07-01,464.0
2016-10-01,467.0
2017-01-01,491.0
2017-04-01,454.0
2017-07-01,269.0
2017-10-01,294.0
2018-01-01,342.0
2018-04-01,582.0
2018-07-01,462.0
2018-10-01,515.0
2019-01-01,768.0
2019-04-01,837.0
2019-07-01,695.0
2019-10-01,725.0
2020-01-01,732.0
2020-04-01,462.0
2020-07-01,515.0
2020-10-01,527.0
2021-01-01,628.0
2021-04-01,852.0
2021-07-01,559.0
2021-10-01,515.0
2022-01-01,567.0
2022-04-01,999.0
2022-07-01,1266.0
2022-10-01,1073.0
2023-01-01,1252.0
2023-04-01,1157.0
2023-07-01,607.0
2023-10-01,1199.0
2024-01-01,1515.0
2024-04-01,1362.0
2024-07-01,1363.0
2024-10-01,916.0
2025-01-01,1129.0
2025-04-01,1322.0
