Tarih,TP_PYASENS_K15
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,7.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,11.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,66.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,45.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,113.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,199.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,273.0
2008-01-01,259.0
2008-04-01,230.0
2008-07-01,194.0
2008-10-01,202.0
2009-01-01,371.0
2009-04-01,249.0
2009-07-01,223.0
2009-10-01,143.0
2010-01-01,88.0
2010-04-01,92.0
2010-07-01,148.0
2010-10-01,91.0
2011-01-01,98.0
2011-04-01,80.0
2011-07-01,92.0
2011-10-01,91.0
2012-01-01,81.0
2012-04-01,80.0
2012-07-01,78.0
2012-10-01,113.0
2013-01-01,85.0
2013-04-01,54.0
2013-07-01,80.0
2013-10-01,100.0
2014-01-01,112.0
2014-04-01,107.0
2014-07-01,134.0
2014-10-01,106.0
2015-01-01,84.0
2015-04-01,85.0
2015-07-01,79.0
2015-10-01,81.0
2016-01-01,80.0
2016-04-01,77.0
2016-07-01,79.0
2016-10-01,74.0
2017-01-01,126.0
2017-04-01,71.0
2017-07-01,75.0
2017-10-01,93.0
2018-01-01,64.0
2018-04-01,49.0
2018-07-01,48.0
2018-10-01,44.0
2019-01-01,52.0
2019-04-01,79.0
2019-07-01,121.0
2019-10-01,139.0
2020-01-01,65.0
2020-04-01,59.0
2020-07-01,89.0
2020-10-01,105.0
2021-01-01,96.0
2021-04-01,119.0
2021-07-01,123.0
2021-10-01,119.0
2022-01-01,140.0
2022-04-01,135.0
2022-07-01,170.0
2022-10-01,261.0
2023-01-01,250.0
2023-04-01,765.0
2023-07-01,218.0
2023-10-01,820.0
2024-01-01,837.0
2024-04-01,699.0
2024-07-01,504.0
2024-10-01,404.0
2025-01-01,543.0
2025-04-01,402.0
