Tarih,TP_BISBORCORAN_QCN
2000-01-01,11.2
2000-04-01,10.9
2000-07-01,11.0
2000-10-01,11.2
2001-01-01,10.2
2001-04-01,10.4
2001-07-01,10.4
2001-10-01,10.4
2002-01-01,11.0
2002-04-01,11.2
2002-07-01,11.4
2002-10-01,11.5
2003-01-01,11.8
2003-04-01,12.4
2003-07-01,12.6
2003-10-01,12.4
2004-01-01,12.7
2004-04-01,12.4
2004-07-01,12.1
2004-10-01,12.1
2005-01-01,12.0
2005-04-01,11.7
2005-07-01,11.6
2005-10-01,11.4
2006-01-01,11.8
2006-04-01,12.1
2006-07-01,12.2
2006-10-01,11.9
2007-01-01,12.2
2007-04-01,12.3
2007-07-01,12.7
2007-10-01,12.5
2008-01-01,12.6
2008-04-01,12.5
2008-07-01,12.3
2008-10-01,10.9
2009-01-01,12.2
2009-04-01,13.1
2009-07-01,13.5
2009-10-01,13.6
2010-01-01,13.9
2010-04-01,14.1
2010-07-01,14.1
2010-10-01,14.4
2011-01-01,14.7
2011-04-01,14.9
2011-07-01,15.0
2011-10-01,15.1
2012-01-01,15.5
2012-04-01,15.5
2012-07-01,15.6
2012-10-01,15.8
2013-01-01,16.5
2013-04-01,16.8
2013-07-01,17.1
2013-10-01,17.1
2014-01-01,17.6
2014-04-01,18.0
2014-07-01,18.0
2014-10-01,17.7
2015-01-01,17.9
2015-04-01,17.7
2015-07-01,17.7
2015-10-01,17.8
2016-01-01,18.3
2016-04-01,18.1
2016-07-01,18.0
2016-10-01,17.9
2017-01-01,17.9
2017-04-01,17.7
2017-07-01,17.5
2017-10-01,17.2
2018-01-01,17.2
2018-04-01,17.0
2018-07-01,16.8
2018-10-01,16.6
2019-01-01,16.9
2019-04-01,16.9
2019-07-01,16.9
2019-10-01,16.8
2020-01-01,17.7
2020-04-01,18.1
2020-07-01,18.2
2020-10-01,17.9
2021-01-01,17.8
2021-04-01,17.6
2021-07-01,17.4
2021-10-01,17.1
2022-01-01,17.4
2022-04-01,17.6
2022-07-01,17.6
2022-10-01,17.6
2023-01-01,18.2
2023-04-01,18.2
2023-07-01,18.3
2023-10-01,18.2
2024-01-01,18.6
2024-04-01,18.6
2024-07-01,18.6
2024-10-01,18.5
2025-01-01,18.9
