Tarih,TP_BISTOPKREDI_QHK2
2000-01-01,57.9
2000-04-01,57.7
2000-07-01,57.7
2000-10-01,57.9
2001-01-01,58.3
2001-04-01,59.1
2001-07-01,59.8
2001-10-01,60.3
2002-01-01,61.0
2002-04-01,61.4
2002-07-01,60.9
2002-10-01,60.5
2003-01-01,59.7
2003-04-01,59.7
2003-07-01,59.6
2003-10-01,59.9
2004-01-01,59.5
2004-04-01,57.9
2004-07-01,57.3
2004-10-01,57.7
2005-01-01,57.4
2005-04-01,57.0
2005-07-01,55.5
2005-10-01,55.0
2006-01-01,53.1
2006-04-01,52.4
2006-07-01,51.7
2006-10-01,51.7
2007-01-01,50.9
2007-04-01,50.7
2007-07-01,51.0
2007-10-01,51.2
2008-01-01,51.4
2008-04-01,52.0
2008-07-01,52.0
2008-10-01,51.3
2009-01-01,51.1
2009-04-01,52.2
2009-07-01,54.2
2009-10-01,55.5
2010-01-01,55.3
2010-04-01,56.5
2010-07-01,57.7
2010-10-01,59.3
2011-01-01,59.1
2011-04-01,59.6
2011-07-01,59.4
2011-10-01,59.1
2012-01-01,58.4
2012-04-01,59.4
2012-07-01,59.9
2012-10-01,61.3
2013-01-01,61.3
2013-04-01,62.2
2013-07-01,61.9
2013-10-01,62.7
2014-01-01,63.3
2014-04-01,63.6
2014-07-01,64.2
2014-10-01,65.5
2015-01-01,66.3
2015-04-01,66.5
2015-07-01,67.0
2015-10-01,67.1
2016-01-01,66.5
2016-04-01,66.4
2016-07-01,66.7
2016-10-01,67.6
2017-01-01,67.6
2017-04-01,68.7
2017-07-01,69.5
2017-10-01,70.8
2018-01-01,71.3
2018-04-01,71.8
2018-07-01,71.4
2018-10-01,72.7
2019-01-01,73.9
2019-04-01,76.6
2019-07-01,79.9
2019-10-01,81.6
2020-01-01,83.5
2020-04-01,86.3
2020-07-01,89.2
2020-10-01,91.6
2021-01-01,91.7
2021-04-01,92.0
2021-07-01,92.6
2021-10-01,93.1
2022-01-01,93.9
2022-04-01,94.6
2022-07-01,95.3
2022-10-01,96.3
2023-01-01,96.4
2023-04-01,96.3
2023-07-01,94.8
2023-10-01,93.2
2024-01-01,91.5
2024-04-01,90.1
2024-07-01,89.0
2024-10-01,88.1
2025-01-01,87.8
