Tarih,TP_BISTOPKREDI_QCA1
2000-01-01,85.2
2000-04-01,83.1
2000-07-01,79.6
2000-10-01,79.8
2001-01-01,78.9
2001-04-01,76.2
2001-07-01,77.4
2001-10-01,78.2
2002-01-01,77.1
2002-04-01,78.1
2002-07-01,78.6
2002-10-01,77.9
2003-01-01,74.9
2003-04-01,76.5
2003-07-01,74.0
2003-10-01,73.5
2004-01-01,74.8
2004-04-01,72.1
2004-07-01,70.6
2004-10-01,69.9
2005-01-01,70.0
2005-04-01,70.4
2005-07-01,68.4
2005-10-01,67.0
2006-01-01,65.8
2006-04-01,63.5
2006-07-01,64.0
2006-10-01,64.8
2007-01-01,64.3
2007-04-01,60.8
2007-07-01,60.3
2007-10-01,60.6
2008-01-01,61.0
2008-04-01,60.7
2008-07-01,60.2
2008-10-01,65.0
2009-01-01,69.5
2009-04-01,72.3
2009-07-01,76.2
2009-10-01,78.3
2010-01-01,78.1
2010-04-01,79.1
2010-07-01,80.6
2010-10-01,80.3
2011-01-01,79.2
2011-04-01,81.6
2011-07-01,83.5
2011-10-01,83.7
2012-01-01,82.6
2012-04-01,85.3
2012-07-01,85.7
2012-10-01,86.2
2013-01-01,87.1
2013-04-01,85.9
2013-07-01,84.9
2013-10-01,83.9
2014-01-01,82.4
2014-04-01,84.1
2014-07-01,83.4
2014-10-01,84.4
2015-01-01,87.0
2015-04-01,86.7
2015-07-01,87.3
2015-10-01,89.8
2016-01-01,89.6
2016-04-01,92.1
2016-07-01,93.2
2016-10-01,89.7
2017-01-01,87.7
2017-04-01,89.7
2017-07-01,86.1
2017-10-01,86.7
2018-01-01,86.2
2018-04-01,86.3
2018-07-01,84.1
2018-10-01,85.6
2019-01-01,87.5
2019-04-01,89.2
2019-07-01,90.0
2019-10-01,87.8
2020-01-01,92.1
2020-04-01,113.8
2020-07-01,114.8
2020-10-01,116.4
2021-01-01,110.7
2021-04-01,110.2
2021-07-01,107.5
2021-10-01,105.8
2022-01-01,97.0
2022-04-01,89.9
2022-07-01,87.8
2022-10-01,86.7
2023-01-01,86.7
2023-04-01,86.7
2023-07-01,84.9
2023-10-01,90.2
2024-01-01,90.4
2024-04-01,91.4
2024-07-01,94.4
2024-10-01,94.6
2025-01-01,96.4
