Tarih,TP_BISTOPKREDI_QLU1
2000-01-01,7.9
2000-04-01,7.7
2000-07-01,7.6
2000-10-01,7.8
2001-01-01,7.6
2001-04-01,7.5
2001-07-01,7.6
2001-10-01,7.9
2002-01-01,7.7
2002-04-01,7.6
2002-07-01,7.6
2002-10-01,7.6
2003-01-01,7.3
2003-04-01,7.5
2003-07-01,7.6
2003-10-01,7.5
2004-01-01,6.9
2004-04-01,7.0
2004-07-01,7.1
2004-10-01,7.9
2005-01-01,7.7
2005-04-01,7.6
2005-07-01,7.7
2005-10-01,8.0
2006-01-01,8.2
2006-04-01,8.0
2006-07-01,8.0
2006-10-01,8.2
2007-01-01,8.1
2007-04-01,8.4
2007-07-01,8.2
2007-10-01,8.1
2008-01-01,8.5
2008-04-01,8.5
2008-07-01,8.4
2008-10-01,14.8
2009-01-01,15.4
2009-04-01,15.8
2009-07-01,16.3
2009-10-01,15.5
2010-01-01,15.7
2010-04-01,20.5
2010-07-01,20.4
2010-10-01,19.4
2011-01-01,19.2
2011-04-01,19.3
2011-07-01,19.5
2011-10-01,19.1
2012-01-01,22.0
2012-04-01,22.5
2012-07-01,22.4
2012-10-01,21.9
2013-01-01,23.5
2013-04-01,23.3
2013-07-01,27.4
2013-10-01,22.9
2014-01-01,22.9
2014-04-01,23.2
2014-07-01,23.3
2014-10-01,23.6
2015-01-01,23.7
2015-04-01,22.8
2015-07-01,22.8
2015-10-01,22.8
2016-01-01,23.4
2016-04-01,23.2
2016-07-01,22.8
2016-10-01,21.4
2017-01-01,24.1
2017-04-01,23.4
2017-07-01,23.5
2017-10-01,23.1
2018-01-01,22.4
2018-04-01,22.4
2018-07-01,22.1
2018-10-01,22.0
2019-01-01,22.0
2019-04-01,21.9
2019-07-01,21.7
2019-10-01,23.5
2020-01-01,23.7
2020-04-01,25.2
2020-07-01,27.3
2020-10-01,25.8
2021-01-01,28.7
2021-04-01,26.8
2021-07-01,25.9
2021-10-01,24.7
2022-01-01,22.0
2022-04-01,23.9
2022-07-01,22.5
2022-10-01,22.4
2023-01-01,26.0
2023-04-01,25.8
2023-07-01,22.7
2023-10-01,23.5
2024-01-01,24.7
2024-04-01,24.3
2024-07-01,24.7
2024-10-01,25.3
2025-01-01,24.8
