Tarih,TP_BISTOPKREDI_QNO1
2000-01-01,24.4
2000-04-01,23.7
2000-07-01,25.4
2000-10-01,28.7
2001-01-01,29.2
2001-04-01,24.9
2001-07-01,26.1
2001-10-01,27.2
2002-01-01,27.9
2002-04-01,27.9
2002-07-01,30.8
2002-10-01,33.9
2003-01-01,37.7
2003-04-01,42.0
2003-07-01,40.6
2003-10-01,43.1
2004-01-01,43.6
2004-04-01,48.1
2004-07-01,48.5
2004-10-01,43.8
2005-01-01,43.7
2005-04-01,42.5
2005-07-01,43.3
2005-10-01,42.3
2006-01-01,41.9
2006-04-01,44.0
2006-07-01,47.6
2006-10-01,52.6
2007-01-01,50.0
2007-04-01,48.2
2007-07-01,50.6
2007-10-01,49.5
2008-01-01,42.0
2008-04-01,39.9
2008-07-01,42.4
2008-10-01,47.5
2009-01-01,44.9
2009-04-01,43.1
2009-07-01,45.4
2009-10-01,42.5
2010-01-01,42.0
2010-04-01,43.4
2010-07-01,43.0
2010-10-01,43.0
2011-01-01,42.8
2011-04-01,41.5
2011-07-01,38.8
2011-10-01,29.6
2012-01-01,31.6
2012-04-01,30.2
2012-07-01,30.7
2012-10-01,30.9
2013-01-01,32.6
2013-04-01,32.6
2013-07-01,31.7
2013-10-01,31.4
2014-01-01,31.0
2014-04-01,29.1
2014-07-01,28.5
2014-10-01,29.6
2015-01-01,31.4
2015-04-01,31.3
2015-07-01,33.3
2015-10-01,34.3
2016-01-01,35.3
2016-04-01,37.9
2016-07-01,37.6
2016-10-01,38.0
2017-01-01,39.7
2017-04-01,38.2
2017-07-01,37.4
2017-10-01,38.2
2018-01-01,38.1
2018-04-01,37.1
2018-07-01,35.3
2018-10-01,39.2
2019-01-01,36.3
2019-04-01,35.3
2019-07-01,35.3
2019-10-01,40.4
2020-01-01,41.5
2020-04-01,41.4
2020-07-01,41.4
2020-10-01,46.2
2021-01-01,43.0
2021-04-01,37.9
2021-07-01,36.5
2021-10-01,41.9
2022-01-01,34.6
2022-04-01,33.8
2022-07-01,33.5
2022-10-01,36.0
2023-01-01,32.8
2023-04-01,31.7
2023-07-01,35.1
2023-10-01,44.1
2024-01-01,41.6
2024-04-01,43.0
2024-07-01,42.1
2024-10-01,54.6
2025-01-01,44.9
