Tarih,TP_BISTOPKREDI_QPL1
2000-01-01,38.4
2000-04-01,38.4
2000-07-01,38.6
2000-10-01,35.8
2001-01-01,35.6
2001-04-01,34.6
2001-07-01,37.3
2001-10-01,36.8
2002-01-01,39.6
2002-04-01,40.9
2002-07-01,42.5
2002-10-01,42.4
2003-01-01,45.4
2003-04-01,46.3
2003-07-01,46.3
2003-10-01,46.6
2004-01-01,48.8
2004-04-01,47.6
2004-07-01,46.8
2004-10-01,45.1
2005-01-01,46.7
2005-04-01,48.0
2005-07-01,47.4
2005-10-01,47.8
2006-01-01,49.9
2006-04-01,49.6
2006-07-01,49.1
2006-10-01,48.0
2007-01-01,48.1
2007-04-01,45.8
2007-07-01,45.1
2007-10-01,44.9
2008-01-01,43.3
2008-04-01,42.6
2008-07-01,42.8
2008-10-01,46.6
2009-01-01,48.0
2009-04-01,47.6
2009-07-01,49.4
2009-10-01,49.9
2010-01-01,51.6
2010-04-01,53.3
2010-07-01,55.2
2010-10-01,54.3
2011-01-01,54.9
2011-04-01,55.2
2011-07-01,55.2
2011-10-01,55.2
2012-01-01,55.9
2012-04-01,57.2
2012-07-01,57.3
2012-10-01,58.5
2013-01-01,60.2
2013-04-01,60.4
2013-07-01,60.3
2013-10-01,59.6
2014-01-01,52.0
2014-04-01,52.8
2014-07-01,53.5
2014-10-01,55.2
2015-01-01,56.1
2015-04-01,54.4
2015-07-01,54.9
2015-10-01,54.2
2016-01-01,54.9
2016-04-01,56.5
2016-07-01,56.0
2016-10-01,56.4
2017-01-01,55.7
2017-04-01,55.2
2017-07-01,53.6
2017-10-01,52.6
2018-01-01,52.7
2018-04-01,52.0
2018-07-01,50.5
2018-10-01,50.2
2019-01-01,50.2
2019-04-01,49.2
2019-07-01,49.0
2019-10-01,47.1
2020-01-01,49.6
2020-04-01,58.7
2020-07-01,59.1
2020-10-01,59.7
2021-01-01,60.9
2021-04-01,58.5
2021-07-01,56.8
2021-10-01,51.9
2022-01-01,48.3
2022-04-01,45.9
2022-07-01,44.8
2022-10-01,44.3
2023-01-01,44.5
2023-04-01,45.4
2023-07-01,46.1
2023-10-01,47.9
2024-01-01,50.0
2024-04-01,50.4
2024-07-01,52.3
2024-10-01,53.3
2025-01-01,55.9
