Tarih,TP_BISTOPKREDI_QSG2
2000-01-01,46.4
2000-04-01,46.7
2000-07-01,46.8
2000-10-01,47.4
2001-01-01,47.4
2001-04-01,48.2
2001-07-01,48.9
2001-10-01,49.5
2002-01-01,49.5
2002-04-01,50.0
2002-07-01,50.4
2002-10-01,51.1
2003-01-01,51.5
2003-04-01,52.3
2003-07-01,52.8
2003-10-01,53.6
2004-01-01,54.2
2004-04-01,55.2
2004-07-01,55.7
2004-10-01,56.9
2005-01-01,57.4
2005-04-01,58.8
2005-07-01,59.8
2005-10-01,60.8
2006-01-01,61.2
2006-04-01,61.9
2006-07-01,62.4
2006-10-01,63.1
2007-01-01,63.1
2007-04-01,63.7
2007-07-01,64.3
2007-10-01,64.9
2008-01-01,65.4
2008-04-01,66.8
2008-07-01,67.4
2008-10-01,68.7
2009-01-01,70.3
2009-04-01,72.5
2009-07-01,74.3
2009-10-01,76.0
2010-01-01,76.5
2010-04-01,77.0
2010-07-01,77.0
2010-10-01,76.6
2011-01-01,76.1
2011-04-01,76.2
2011-07-01,76.3
2011-10-01,77.1
2012-01-01,77.8
2012-04-01,78.6
2012-07-01,79.3
2012-10-01,79.6
2013-01-01,80.0
2013-04-01,80.8
2013-07-01,81.3
2013-10-01,81.5
2014-01-01,81.6
2014-04-01,81.9
2014-07-01,82.0
2014-10-01,82.6
2015-01-01,82.5
2015-04-01,82.7
2015-07-01,82.9
2015-10-01,83.1
2016-01-01,84.1
2016-04-01,85.4
2016-07-01,85.9
2016-10-01,86.4
2017-01-01,86.5
2017-04-01,87.2
2017-07-01,87.7
2017-10-01,88.2
2018-01-01,88.4
2018-04-01,88.7
2018-07-01,88.7
2018-10-01,88.9
2019-01-01,88.9
2019-04-01,88.9
2019-07-01,88.8
2019-10-01,88.9
2020-01-01,88.9
2020-04-01,91.4
2020-07-01,92.7
2020-10-01,94.2
2021-01-01,95.0
2021-04-01,94.1
2021-07-01,93.8
2021-10-01,93.3
2022-01-01,92.9
2022-04-01,92.4
2022-07-01,91.1
2022-10-01,90.1
2023-01-01,88.5
2023-04-01,87.6
2023-07-01,86.4
2023-10-01,85.5
2024-01-01,84.8
2024-04-01,84.4
2024-07-01,84.0
2024-10-01,83.5
2025-01-01,83.4
