Tarih,TP_BISTOPKREDI_QTR3
2000-01-01,23.2
2000-04-01,22.6
2000-07-01,22.8
2000-10-01,22.3
2001-01-01,26.8
2001-04-01,27.2
2001-07-01,29.9
2001-10-01,26.4
2002-01-01,23.0
2002-04-01,21.9
2002-07-01,21.5
2002-10-01,20.7
2003-01-01,21.0
2003-04-01,17.6
2003-07-01,17.5
2003-10-01,17.6
2004-01-01,17.8
2004-04-01,19.8
2004-07-01,19.1
2004-10-01,17.7
2005-01-01,17.6
2005-04-01,17.9
2005-07-01,17.9
2005-10-01,22.3
2006-01-01,23.8
2006-04-01,27.4
2006-07-01,27.0
2006-10-01,27.2
2007-01-01,26.5
2007-04-01,27.4
2007-07-01,28.6
2007-10-01,29.5
2008-01-01,33.1
2008-04-01,33.6
2008-07-01,34.1
2008-10-01,35.3
2009-01-01,35.1
2009-04-01,33.7
2009-07-01,34.6
2009-10-01,35.0
2010-01-01,35.7
2010-04-01,37.8
2010-07-01,37.6
2010-10-01,39.8
2011-01-01,41.3
2011-04-01,43.9
2011-07-01,44.7
2011-10-01,44.1
2012-01-01,43.4
2012-04-01,44.3
2012-07-01,43.8
2012-10-01,44.5
2013-01-01,45.2
2013-04-01,48.9
2013-07-01,50.8
2013-10-01,52.0
2014-01-01,52.2
2014-04-01,53.1
2014-07-01,54.9
2014-10-01,56.0
2015-01-01,58.4
2015-04-01,60.9
2015-07-01,63.7
2015-10-01,61.7
2016-01-01,61.0
2016-04-01,61.9
2016-07-01,63.0
2016-10-01,67.1
2017-01-01,67.4
2017-04-01,67.3
2017-07-01,66.0
2017-10-01,67.1
2018-01-01,67.7
2018-04-01,70.5
2018-07-01,78.1
2018-10-01,67.9
2019-01-01,69.4
2019-04-01,68.1
2019-07-01,65.1
2019-10-01,65.0
2020-01-01,67.6
2020-04-01,74.1
2020-07-01,75.9
2020-10-01,71.1
2021-01-01,71.4
2021-04-01,67.3
2021-07-01,63.6
2021-10-01,73.4
2022-01-01,71.4
2022-04-01,65.4
2022-07-01,59.1
2022-10-01,54.4
2023-01-01,51.0
2023-04-01,54.1
2023-07-01,49.5
2023-10-01,47.0
2024-01-01,44.3
2024-04-01,41.1
2024-07-01,40.3
2024-10-01,38.6
2025-01-01,39.9
