Tarih,TP_BISTOPKREDI_QIL3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,84.4
2002-04-01,86.5
2002-07-01,85.0
2002-10-01,81.3
2003-01-01,74.2
2003-04-01,75.6
2003-07-01,76.9
2003-10-01,83.0
2004-01-01,82.3
2004-04-01,78.7
2004-07-01,80.3
2004-10-01,89.5
2005-01-01,86.5
2005-04-01,86.0
2005-07-01,92.4
2005-10-01,95.6
2006-01-01,106.3
2006-04-01,115.4
2006-07-01,119.2
2006-10-01,122.3
2007-01-01,125.5
2007-04-01,127.0
2007-07-01,130.2
2007-10-01,129.7
2008-01-01,139.8
2008-04-01,149.5
2008-07-01,159.9
2008-10-01,175.0
2009-01-01,177.3
2009-04-01,178.8
2009-07-01,182.4
2009-10-01,185.1
2010-01-01,187.4
2010-04-01,187.1
2010-07-01,180.6
2010-10-01,197.9
2011-01-01,199.5
2011-04-01,198.3
2011-07-01,203.9
2011-10-01,207.5
2012-01-01,217.6
2012-04-01,224.1
2012-07-01,224.6
2012-10-01,214.2
2013-01-01,197.2
2013-04-01,192.2
2013-07-01,187.6
2013-10-01,189.4
2014-01-01,188.5
2014-04-01,186.8
2014-07-01,187.9
2014-10-01,199.3
2015-01-01,305.4
2015-04-01,278.8
2015-07-01,257.6
2015-10-01,247.4
2016-01-01,254.6
2016-04-01,259.4
2016-07-01,246.4
2016-10-01,248.6
2017-01-01,257.1
2017-04-01,238.7
2017-07-01,230.9
2017-10-01,223.2
2018-01-01,214.9
2018-04-01,218.5
2018-07-01,216.6
2018-10-01,222.7
2019-01-01,214.7
2019-04-01,211.2
2019-07-01,207.7
2019-10-01,191.7
2020-01-01,209.6
2020-04-01,209.9
2020-07-01,189.6
2020-10-01,179.9
2021-01-01,170.6
2021-04-01,161.6
2021-07-01,156.0
2021-10-01,150.7
2022-01-01,147.1
2022-04-01,146.3
2022-07-01,148.8
2022-10-01,134.8
2023-01-01,132.7
2023-04-01,131.7
2023-07-01,133.7
2023-10-01,127.1
2024-01-01,126.7
2024-04-01,127.3
2024-07-01,123.1
2024-10-01,113.7
2025-01-01,106.0
