Tarih,TP_BISKREDIGSYIH_QDE3
2000-01-01,10.2
2000-04-01,11.8
2000-07-01,11.2
2000-10-01,15.7
2001-01-01,14.9
2001-04-01,14.1
2001-07-01,13.6
2001-10-01,12.0
2002-01-01,10.3
2002-04-01,11.0
2002-07-01,10.2
2002-10-01,9.9
2003-01-01,9.3
2003-04-01,9.3
2003-07-01,8.2
2003-10-01,6.5
2004-01-01,2.5
2004-04-01,0.1
2004-07-01,-1.8
2004-10-01,-3.7
2005-01-01,-5.1
2005-04-01,-4.3
2005-07-01,-4.1
2005-10-01,-4.3
2006-01-01,-3.7
2006-04-01,-3.4
2006-07-01,-3.9
2006-10-01,-5.5
2007-01-01,-7.9
2007-04-01,-8.6
2007-07-01,-10.0
2007-10-01,-9.7
2008-01-01,-10.5
2008-04-01,-10.3
2008-07-01,-9.8
2008-10-01,-8.1
2009-01-01,-6.7
2009-04-01,-5.4
2009-07-01,-5.5
2009-10-01,-5.3
2010-01-01,-6.9
2010-04-01,-7.2
2010-07-01,-8.1
2010-10-01,-9.9
2011-01-01,-13.3
2011-04-01,-13.8
2011-07-01,-12.6
2011-10-01,-12.1
2012-01-01,-12.2
2012-04-01,-11.6
2012-07-01,-11.6
2012-10-01,-11.4
2013-01-01,-10.0
2013-04-01,-9.2
2013-07-01,-8.6
2013-10-01,-8.5
2014-01-01,-9.0
2014-04-01,-8.6
2014-07-01,-9.6
2014-10-01,-12.9
2015-01-01,-11.8
2015-04-01,-11.2
2015-07-01,-10.7
2015-10-01,-10.3
2016-01-01,-9.2
2016-04-01,-8.3
2016-07-01,-7.1
2016-10-01,-6.5
2017-01-01,-5.8
2017-04-01,-6.0
2017-07-01,-6.0
2017-10-01,-5.7
2018-01-01,-6.0
2018-04-01,-4.5
2018-07-01,-3.4
2018-10-01,-3.5
2019-01-01,-2.3
2019-04-01,-0.9
2019-07-01,-0.5
2019-10-01,-0.1
2020-01-01,1.1
2020-04-01,6.4
2020-07-01,8.5
2020-10-01,9.9
2021-01-01,11.5
2021-04-01,8.5
2021-07-01,7.4
2021-10-01,6.8
2022-01-01,5.7
2022-04-01,5.0
2022-07-01,5.9
2022-10-01,4.1
2023-01-01,1.8
2023-04-01,0.4
2023-07-01,-1.3
2023-10-01,-2.3
2024-01-01,-2.7
2024-04-01,-2.8
2024-07-01,-2.5
2024-10-01,-2.8
2025-01-01,-2.7
