Tarih,TP_BISKREDIGSYIH_QDE2
2000-01-01,128.6
2000-04-01,129.7
2000-07-01,130.7
2000-10-01,132.0
2001-01-01,133.3
2001-04-01,134.6
2001-07-01,135.9
2001-10-01,137.1
2002-01-01,138.2
2002-04-01,139.4
2002-07-01,140.5
2002-10-01,141.7
2003-01-01,142.8
2003-04-01,143.9
2003-07-01,145.0
2003-10-01,146.1
2004-01-01,146.8
2004-04-01,147.5
2004-07-01,148.1
2004-10-01,148.5
2005-01-01,148.8
2005-04-01,149.2
2005-07-01,149.6
2005-10-01,150.0
2006-01-01,150.4
2006-04-01,150.8
2006-07-01,151.2
2006-10-01,151.5
2007-01-01,151.6
2007-04-01,151.7
2007-07-01,151.6
2007-10-01,151.6
2008-01-01,151.5
2008-04-01,151.5
2008-07-01,151.4
2008-10-01,151.4
2009-01-01,151.5
2009-04-01,151.6
2009-07-01,151.7
2009-10-01,151.9
2010-01-01,151.9
2010-04-01,151.9
2010-07-01,151.8
2010-10-01,151.7
2011-01-01,151.3
2011-04-01,150.8
2011-07-01,150.4
2011-10-01,150.0
2012-01-01,149.6
2012-04-01,149.2
2012-07-01,148.8
2012-10-01,148.4
2013-01-01,148.0
2013-04-01,147.7
2013-07-01,147.4
2013-10-01,147.1
2014-01-01,146.7
2014-04-01,146.3
2014-07-01,145.9
2014-10-01,145.3
2015-01-01,144.7
2015-04-01,144.1
2015-07-01,143.5
2015-10-01,143.0
2016-01-01,142.5
2016-04-01,142.0
2016-07-01,141.6
2016-10-01,141.2
2017-01-01,140.8
2017-04-01,140.4
2017-07-01,140.0
2017-10-01,139.6
2018-01-01,139.2
2018-04-01,138.9
2018-07-01,138.6
2018-10-01,138.3
2019-01-01,138.1
2019-04-01,137.9
2019-07-01,137.8
2019-10-01,137.7
2020-01-01,137.7
2020-04-01,137.9
2020-07-01,138.3
2020-10-01,138.8
2021-01-01,139.4
2021-04-01,139.9
2021-07-01,140.3
2021-10-01,140.6
2022-01-01,141.0
2022-04-01,141.3
2022-07-01,141.6
2022-10-01,141.9
2023-01-01,142.0
2023-04-01,142.1
2023-07-01,142.0
2023-10-01,141.9
2024-01-01,141.8
2024-04-01,141.6
2024-07-01,141.5
2024-10-01,141.4
2025-01-01,141.2
