Tarih,TP_BISKREDIGSYIH_QID3
2000-01-01,-40.0
2000-04-01,-37.4
2000-07-01,-37.3
2000-10-01,-36.0
2001-01-01,-34.2
2001-04-01,-32.5
2001-07-01,-34.5
2001-10-01,-33.4
2002-01-01,-33.5
2002-04-01,-32.8
2002-07-01,-30.5
2002-10-01,-28.4
2003-01-01,-27.2
2003-04-01,-26.5
2003-07-01,-24.5
2003-10-01,-22.2
2004-01-01,-21.6
2004-04-01,-17.6
2004-07-01,-16.5
2004-10-01,-14.7
2005-01-01,-13.3
2005-04-01,-11.5
2005-07-01,-9.9
2005-10-01,-10.7
2006-01-01,-12.0
2006-04-01,-10.8
2006-07-01,-10.2
2006-10-01,-8.7
2007-01-01,-8.6
2007-04-01,-8.7
2007-07-01,-7.1
2007-10-01,-4.4
2008-01-01,-4.0
2008-04-01,-2.4
2008-07-01,-1.4
2008-10-01,-0.9
2009-01-01,-1.4
2009-04-01,-1.7
2009-07-01,-1.4
2009-10-01,-0.4
2010-01-01,-1.5
2010-04-01,0.6
2010-07-01,1.0
2010-10-01,2.6
2011-01-01,2.5
2011-04-01,4.0
2011-07-01,5.7
2011-10-01,6.8
2012-01-01,7.7
2012-04-01,9.2
2012-07-01,9.8
2012-10-01,11.1
2013-01-01,10.7
2013-04-01,12.1
2013-07-01,13.5
2013-10-01,14.0
2014-01-01,12.3
2014-04-01,13.0
2014-07-01,12.9
2014-10-01,13.0
2015-01-01,12.1
2015-04-01,12.4
2015-07-01,12.3
2015-10-01,12.1
2016-01-01,10.6
2016-04-01,10.5
2016-07-01,9.7
2016-10-01,10.0
2017-01-01,8.4
2017-04-01,8.2
2017-07-01,7.2
2017-10-01,7.3
2018-01-01,6.4
2018-04-01,7.0
2018-07-01,7.1
2018-10-01,6.9
2019-01-01,6.1
2019-04-01,5.9
2019-07-01,5.6
2019-10-01,5.3
2020-01-01,6.6
2020-04-01,5.2
2020-07-01,6.0
2020-10-01,4.9
2021-01-01,4.9
2021-04-01,3.6
2021-07-01,2.2
2021-10-01,1.4
2022-01-01,0.7
2022-04-01,1.0
2022-07-01,-0.3
2022-10-01,-0.9
2023-01-01,-2.3
2023-04-01,-2.0
2023-07-01,-1.4
2023-10-01,-0.9
2024-01-01,-0.7
2024-04-01,-0.6
2024-07-01,-1.8
2024-10-01,-1.3
2025-01-01,-1.3
