Tarih,TP_BISKREDIGSYIH_QJP2
2000-01-01,217.3
2000-04-01,216.5
2000-07-01,215.6
2000-10-01,214.7
2001-01-01,213.6
2001-04-01,212.4
2001-07-01,211.2
2001-10-01,210.1
2002-01-01,208.9
2002-04-01,207.7
2002-07-01,206.4
2002-10-01,205.2
2003-01-01,203.8
2003-04-01,202.3
2003-07-01,200.7
2003-10-01,199.2
2004-01-01,197.5
2004-04-01,195.8
2004-07-01,194.0
2004-10-01,192.2
2005-01-01,190.6
2005-04-01,188.9
2005-07-01,187.3
2005-10-01,185.7
2006-01-01,184.2
2006-04-01,182.6
2006-07-01,181.2
2006-10-01,179.8
2007-01-01,178.4
2007-04-01,176.9
2007-07-01,175.5
2007-10-01,174.2
2008-01-01,172.9
2008-04-01,171.7
2008-07-01,170.6
2008-10-01,169.8
2009-01-01,169.1
2009-04-01,168.5
2009-07-01,168.1
2009-10-01,167.8
2010-01-01,167.3
2010-04-01,166.7
2010-07-01,166.1
2010-10-01,165.4
2011-01-01,164.7
2011-04-01,164.0
2011-07-01,163.4
2011-10-01,162.8
2012-01-01,162.2
2012-04-01,161.5
2012-07-01,160.9
2012-10-01,160.3
2013-01-01,159.9
2013-04-01,159.3
2013-07-01,158.8
2013-10-01,158.3
2014-01-01,157.8
2014-04-01,157.3
2014-07-01,156.7
2014-10-01,156.3
2015-01-01,155.8
2015-04-01,155.2
2015-07-01,154.6
2015-10-01,154.0
2016-01-01,153.4
2016-04-01,152.9
2016-07-01,152.4
2016-10-01,152.1
2017-01-01,151.9
2017-04-01,151.6
2017-07-01,151.3
2017-10-01,151.1
2018-01-01,150.9
2018-04-01,150.7
2018-07-01,150.6
2018-10-01,150.7
2019-01-01,150.8
2019-04-01,151.0
2019-07-01,151.2
2019-10-01,151.6
2020-01-01,152.0
2020-04-01,153.1
2020-07-01,154.4
2020-10-01,155.8
2021-01-01,157.2
2021-04-01,158.4
2021-07-01,159.6
2021-10-01,160.8
2022-01-01,162.1
2022-04-01,163.3
2022-07-01,164.5
2022-10-01,165.8
2023-01-01,166.9
2023-04-01,167.9
2023-07-01,168.8
2023-10-01,169.7
2024-01-01,170.5
2024-04-01,171.4
2024-07-01,172.0
2024-10-01,172.8
2025-01-01,173.4
