Tarih,TP_BISKREDIGSYIH_QGB1
2000-01-01,130.1
2000-04-01,133.5
2000-07-01,135.2
2000-10-01,136.0
2001-01-01,139.6
2001-04-01,140.4
2001-07-01,141.7
2001-10-01,144.4
2002-01-01,146.5
2002-04-01,149.1
2002-07-01,154.5
2002-10-01,154.4
2003-01-01,152.0
2003-04-01,154.2
2003-07-01,154.7
2003-10-01,154.6
2004-01-01,154.4
2004-04-01,154.9
2004-07-01,157.3
2004-10-01,158.2
2005-01-01,158.7
2005-04-01,162.4
2005-07-01,164.3
2005-10-01,165.7
2006-01-01,166.5
2006-04-01,168.8
2006-07-01,172.2
2006-10-01,172.2
2007-01-01,170.7
2007-04-01,171.4
2007-07-01,174.6
2007-10-01,176.0
2008-01-01,178.9
2008-04-01,178.4
2008-07-01,179.2
2008-10-01,185.3
2009-01-01,185.0
2009-04-01,181.6
2009-07-01,185.3
2009-10-01,185.2
2010-01-01,186.3
2010-04-01,182.4
2010-07-01,181.8
2010-10-01,177.0
2011-01-01,175.7
2011-04-01,175.1
2011-07-01,174.1
2011-10-01,172.5
2012-01-01,174.6
2012-04-01,175.5
2012-07-01,175.5
2012-10-01,173.1
2013-01-01,170.9
2013-04-01,172.2
2013-07-01,169.7
2013-10-01,167.5
2014-01-01,164.7
2014-04-01,162.6
2014-07-01,161.4
2014-10-01,160.0
2015-01-01,160.4
2015-04-01,157.0
2015-07-01,157.4
2015-10-01,157.8
2016-01-01,158.4
2016-04-01,161.8
2016-07-01,164.0
2016-10-01,163.3
2017-01-01,163.8
2017-04-01,162.3
2017-07-01,163.0
2017-10-01,163.7
2018-01-01,161.3
2018-04-01,160.6
2018-07-01,159.1
2018-10-01,158.5
2019-01-01,156.1
2019-04-01,157.4
2019-07-01,158.7
2019-10-01,157.0
2020-01-01,160.4
2020-04-01,169.4
2020-07-01,173.0
2020-10-01,176.7
2021-01-01,177.6
2021-04-01,172.5
2021-07-01,168.4
2021-10-01,163.9
2022-01-01,156.7
2022-04-01,153.5
2022-07-01,152.1
2022-10-01,148.6
2023-01-01,149.0
2023-04-01,145.0
2023-07-01,143.8
2023-10-01,142.4
2024-01-01,140.0
2024-04-01,139.4
2024-07-01,138.5
2024-10-01,137.5
2025-01-01,135.6
