Tarih,TP_BISKREDIGSYIH_QSE3
2000-01-01,-2.1
2000-04-01,-1.1
2000-07-01,-3.0
2000-10-01,-4.0
2001-01-01,-2.2
2001-04-01,0.1
2001-07-01,4.2
2001-10-01,12.2
2002-01-01,10.2
2002-04-01,9.1
2002-07-01,8.0
2002-10-01,4.5
2003-01-01,1.2
2003-04-01,8.5
2003-07-01,6.8
2003-10-01,6.5
2004-01-01,-0.8
2004-04-01,-5.7
2004-07-01,-10.8
2004-10-01,-12.8
2005-01-01,-15.3
2005-04-01,-16.0
2005-07-01,-17.3
2005-10-01,-15.5
2006-01-01,-16.8
2006-04-01,-17.3
2006-07-01,-19.4
2006-10-01,-22.1
2007-01-01,-21.1
2007-04-01,-18.4
2007-07-01,-20.8
2007-10-01,-14.6
2008-01-01,-7.0
2008-04-01,-4.2
2008-07-01,-0.7
2008-10-01,2.4
2009-01-01,-0.1
2009-04-01,1.2
2009-07-01,1.8
2009-10-01,1.8
2010-01-01,-4.2
2010-04-01,-10.2
2010-07-01,-7.8
2010-10-01,-6.0
2011-01-01,1.2
2011-04-01,5.3
2011-07-01,4.8
2011-10-01,6.0
2012-01-01,6.5
2012-04-01,7.1
2012-07-01,13.2
2012-10-01,17.3
2013-01-01,21.8
2013-04-01,23.4
2013-07-01,24.6
2013-10-01,26.5
2014-01-01,26.2
2014-04-01,28.8
2014-07-01,31.5
2014-10-01,28.0
2015-01-01,22.7
2015-04-01,23.7
2015-07-01,21.0
2015-10-01,23.2
2016-01-01,20.3
2016-04-01,20.1
2016-07-01,18.3
2016-10-01,14.2
2017-01-01,9.5
2017-04-01,11.4
2017-07-01,7.1
2017-10-01,8.3
2018-01-01,4.0
2018-04-01,4.3
2018-07-01,1.2
2018-10-01,0.6
2019-01-01,0.3
2019-04-01,2.5
2019-07-01,2.0
2019-10-01,7.7
2020-01-01,8.3
2020-04-01,13.9
2020-07-01,16.6
2020-10-01,22.1
2021-01-01,12.8
2021-04-01,8.1
2021-07-01,-4.3
2021-10-01,-13.1
2022-01-01,-25.5
2022-04-01,-39.7
2022-07-01,-44.2
2022-10-01,-44.1
2023-01-01,-46.6
2023-04-01,-34.0
2023-07-01,-32.7
2023-10-01,-29.3
2024-01-01,-31.4
2024-04-01,-29.8
2024-07-01,-34.2
2024-10-01,-31.2
2025-01-01,-26.4
