Tarih,TP_TODEAPARA_A1
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,15638.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,17489.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,22450.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,20823.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,23340.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,28769.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,30708.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,37873.0
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,41881.0
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,48464.0
2010-01-01,3884.0
2010-02-01,4359.0
2010-03-01,3572.0
2010-04-01,3762.0
2010-05-01,2726.0
2010-06-01,6471.0
2010-07-01,3084.0
2010-08-01,2465.0
2010-09-01,4417.0
2010-10-01,2806.0
2010-11-01,3095.0
2010-12-01,6510.0
2011-01-01,3714.0
2011-02-01,2823.0
2011-03-01,2853.0
2011-04-01,3766.0
2011-05-01,3493.0
2011-06-01,4965.0
2011-07-01,3011.0
2011-08-01,3973.0
2011-09-01,3057.0
2011-10-01,2620.0
2011-11-01,2837.0
2011-12-01,5350.0
2012-01-01,4207.0
2012-02-01,3348.0
2012-03-01,3717.0
2012-04-01,3128.0
2012-05-01,3253.0
2012-06-01,4198.0
2012-07-01,5086.0
2012-08-01,4060.0
2012-09-01,2685.0
2012-10-01,3015.0
2012-11-01,2669.0
2012-12-01,4214.0
2013-01-01,6102.0
2013-02-01,3044.0
2013-03-01,3665.0
2013-04-01,3046.0
2013-05-01,6201.0
2013-06-01,5091.0
2013-07-01,3555.0
2013-08-01,2761.0
2013-09-01,3140.0
2013-10-01,2814.0
2013-11-01,2767.0
2013-12-01,4579.0
2014-01-01,3960.0
2014-02-01,3346.0
2014-03-01,3317.0
2014-04-01,2523.0
2014-05-01,3176.0
2014-06-01,4851.0
2014-07-01,2291.0
2014-08-01,2442.0
2014-09-01,3737.0
2014-10-01,2905.0
2014-11-01,2721.0
2014-12-01,4681.0
2015-01-01,2812.0
2015-02-01,2206.0
2015-03-01,6184.0
2015-04-01,2563.0
2015-05-01,2887.0
