Tarih,TP_TODEAPARA_A31
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,2457.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,2948.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,2144.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,1817.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,1870.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,2218.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,1774.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,1531.0
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,4653.0
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,4287.0
2010-01-01,138.0
2010-02-01,198.0
2010-03-01,545.0
2010-04-01,443.0
2010-05-01,405.0
2010-06-01,321.0
2010-07-01,115.0
2010-08-01,118.0
2010-09-01,300.0
2010-10-01,394.0
2010-11-01,356.0
2010-12-01,445.0
2011-01-01,172.0
2011-02-01,192.0
2011-03-01,306.0
2011-04-01,345.0
2011-05-01,299.0
2011-06-01,398.0
2011-07-01,531.0
2011-08-01,92.0
2011-09-01,283.0
2011-10-01,309.0
2011-11-01,251.0
2011-12-01,339.0
2012-01-01,276.0
2012-02-01,80.0
2012-03-01,279.0
2012-04-01,388.0
2012-05-01,316.0
2012-06-01,370.0
2012-07-01,249.0
2012-08-01,130.0
2012-09-01,220.0
2012-10-01,394.0
2012-11-01,268.0
2012-12-01,380.0
2013-01-01,262.0
2013-02-01,134.0
2013-03-01,232.0
2013-04-01,400.0
2013-05-01,288.0
2013-06-01,416.0
2013-07-01,291.0
2013-08-01,104.0
2013-09-01,254.0
2013-10-01,345.0
2013-11-01,259.0
2013-12-01,378.0
2014-01-01,249.0
2014-02-01,130.0
2014-03-01,249.0
2014-04-01,357.0
2014-05-01,293.0
2014-06-01,360.0
2014-07-01,251.0
2014-08-01,187.0
2014-09-01,299.0
2014-10-01,375.0
2014-11-01,243.0
2014-12-01,404.0
2015-01-01,470.0
2015-02-01,131.0
2015-03-01,239.0
2015-04-01,285.0
2015-05-01,183.0
2015-06-01,254.0
2015-07-01,200.0
2015-08-01,137.0
2015-09-01,193.0
2015-10-01,225.0
2015-11-01,143.0
