Tarih,TP_ODEMGZS_KANADA
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,55615.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,56149.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,39704.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,42545.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,53840.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,82607.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,100724.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,133495.0
2008-01-01,3670.0
2008-02-01,2981.0
2008-03-01,5090.0
2008-04-01,7395.0
2008-05-01,18578.0
2008-06-01,12684.0
2008-07-01,15903.0
2008-08-01,17635.0
2008-09-01,24987.0
2008-10-01,28320.0
2008-11-01,10176.0
2008-12-01,4266.0
2009-01-01,3676.0
2009-02-01,3057.0
2009-03-01,5829.0
2009-04-01,8315.0
2009-05-01,15321.0
2009-06-01,14346.0
2009-07-01,17635.0
2009-08-01,20591.0
2009-09-01,23770.0
2009-10-01,26324.0
2009-11-01,12444.0
2009-12-01,5267.0
2010-01-01,3464.0
2010-02-01,3123.0
2010-03-01,5915.0
2010-04-01,8798.0
2010-05-01,19546.0
2010-06-01,15875.0
2010-07-01,17320.0
2010-08-01,17863.0
2010-09-01,21445.0
2010-10-01,25779.0
2010-11-01,10807.0
2010-12-01,3830.0
2011-01-01,3952.0
2011-02-01,4123.0
2011-03-01,7135.0
2011-04-01,12309.0
2011-05-01,22357.0
2011-06-01,17937.0
2011-07-01,21805.0
2011-08-01,21888.0
2011-09-01,30657.0
2011-10-01,33920.0
2011-11-01,12917.0
2011-12-01,4086.0
2012-01-01,4191.0
2012-02-01,3414.0
2012-03-01,5845.0
2012-04-01,9766.0
2012-05-01,23302.0
2012-06-01,19455.0
2012-07-01,22809.0
2012-08-01,21536.0
2012-09-01,25553.0
2012-10-01,27628.0
2012-11-01,15472.0
2012-12-01,5078.0
2013-01-01,5469.0
2013-02-01,4929.0
2013-03-01,7690.0
2013-04-01,11579.0
2013-05-01,21708.0
2013-06-01,23261.0
2013-07-01,22664.0
2013-08-01,25782.0
2013-09-01,28161.0
2013-10-01,28197.0
2013-11-01,15114.0
2013-12-01,6275.0
2014-01-01,5760.0
2014-02-01,4544.0
2014-03-01,7224.0
2014-04-01,10329.0
2014-05-01,21263.0
2014-06-01,20299.0
2014-07-01,21005.0
2014-08-01,25545.0
2014-09-01,28474.0
2014-10-01,29097.0
