Tarih,TP_ODEMGZS_KOLOMBIYA
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,277.0
2008-02-01,107.0
2008-03-01,238.0
2008-04-01,283.0
2008-05-01,488.0
2008-06-01,656.0
2008-07-01,1080.0
2008-08-01,536.0
2008-09-01,942.0
2008-10-01,769.0
2008-11-01,282.0
2008-12-01,271.0
2009-01-01,219.0
2009-02-01,79.0
2009-03-01,199.0
2009-04-01,616.0
2009-05-01,737.0
2009-06-01,901.0
2009-07-01,1428.0
2009-08-01,695.0
2009-09-01,839.0
2009-10-01,880.0
2009-11-01,344.0
2009-12-01,203.0
2010-01-01,212.0
2010-02-01,86.0
2010-03-01,208.0
2010-04-01,385.0
2010-05-01,664.0
2010-06-01,718.0
2010-07-01,1409.0
2010-08-01,590.0
2010-09-01,1106.0
2010-10-01,1014.0
2010-11-01,348.0
2010-12-01,211.0
2011-01-01,246.0
2011-02-01,147.0
2011-03-01,250.0
2011-04-01,617.0
2011-05-01,752.0
2011-06-01,1282.0
2011-07-01,2548.0
2011-08-01,716.0
2011-09-01,1195.0
2011-10-01,1203.0
2011-11-01,433.0
2011-12-01,237.0
2012-01-01,320.0
2012-02-01,202.0
2012-03-01,294.0
2012-04-01,951.0
2012-05-01,1099.0
2012-06-01,1674.0
2012-07-01,2738.0
2012-08-01,1100.0
2012-09-01,1667.0
2012-10-01,1490.0
2012-11-01,604.0
2012-12-01,550.0
2013-01-01,676.0
2013-02-01,386.0
2013-03-01,923.0
2013-04-01,1336.0
2013-05-01,2126.0
2013-06-01,2857.0
2013-07-01,3538.0
2013-08-01,1894.0
2013-09-01,2436.0
2013-10-01,3098.0
2013-11-01,1293.0
2013-12-01,968.0
2014-01-01,1121.0
2014-02-01,637.0
2014-03-01,782.0
2014-04-01,1655.0
2014-05-01,1959.0
2014-06-01,2997.0
2014-07-01,3458.0
2014-08-01,2514.0
2014-09-01,2548.0
2014-10-01,2967.0
2014-11-01,1337.0
2014-12-01,1085.0
2015-01-01,1356.0
2015-02-01,642.0
2015-03-01,1366.0
2015-04-01,1786.0
2015-05-01,2626.0
